1st Serve Tennis (Europe) (Unl);1st Serve Tennis (Europe) (Unl);Atari ST;;19xx;John Leaver;Sports/Tennis;;;;;0;;;;;
Kobayashi Hitomi Shocking Tennis (Japan) (Unl);Kobayashi Hitomi Shocking Tennis (Japan) (Unl);Nintendo Famicom Disk System;;1989;Hacker International;Sports/Tennis;;;;;0;;;;;
Konamic Tennis (Japan);Konamic Tennis (Japan);Nintendo Famicom Disk System;;1988;Konami;Sports/Tennis;;;;;0;;;;;
Konami's Ping Pong (Europe);Konami's Ping Pong (Europe);Amstrad CPC;;1986;Imagine Software;Sports/Tennis;;;;;0;;;;;
Konami's Ping Pong (Europe);Konami's Ping Pong (Europe);Sinclair ZX Spectrum;;1986;Imagine Software;Sports/Tennis;;;;;0;;;;;
Konami's Tennis (Europe);Konami's Tennis (Europe);Sinclair ZX Spectrum;;1986;Imagine Software;Sports/Tennis;;;;;0;;;;;
Konami's Tennis (Japan) (Alt 1);Konami's Tennis (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
Konami's Tennis (Japan);Konami's Tennis (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Lawn Tennis (Europe);Lawn Tennis (Europe);Commodore 64;;1988;Mastertronic;Sports/Tennis;;;;;0;;;;;
Mario's Tennis (Japan, USA);Mario's Tennis (Japan, USA);Nintendo Virtual Boy;;1995;Nintendo;Sports/Tennis;;;;;0;;;;;
Mario's Tennis (Japan, USA);Mario\'s Tennis (Japan, USA);Nintendo Virtual Boy;;1995;Nintendo;Sports/Tennis;;;;;0;;;;;
Mario Tennis - Power Tour (USA, Australia) (En,Fr,De,Es,It);Mario Tennis - Power Tour (USA, Australia) (En,Fr,De,Es,It);Nintendo Game Boy Advance;;2005;Nintendo;Sports/Tennis;;;;;0;;;;;
Mario Tennis (USA);Mario Tennis (USA);Nintendo 64;;2000;Nintendo;Sports/Tennis;;;;;0;;;;;
Mario Tennis (USA);Mario Tennis (USA);Nintendo Game Boy Color;;2001;Nintendo;Sports;;;;;0;;;;;
Match Point (Europe);Match Point (Europe);Amstrad CPC;;1985;Psion;Sports/Tennis;;;;;0;;;;;
Match Point (Europe);Match Point (Europe);Commodore 64;;1984;Psion;Sports/Tennis;;;;;0;;;;;
Match Point (Europe);Match Point (Europe);Sinclair ZX Spectrum;;1984;Sinclair Research;Sports/Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);Arcade;;1993;Sega;Sports / Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);Arcade;;1993;Sega;Sports/Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);Final Burn Alpha;;1993;Sega;Sports/Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);MAME (Advance);;1993;Sega;Sports / Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);MAME (Advance);;1993;Sega;Sports/Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);MAME (Libretro);;1993;Sega;Sports / Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);MAME (Libretro);;1993;Sega;Sports/Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);MAME (Mame4all);;1993;Sega;Sports / Tennis;;;;;0;;;;;
mp_gslam;Grand Slam (Mega Play);MAME (Mame4all);;1993;Sega;Sports/Tennis;;;;;0;;;;;
Namco Tennis Smash Court (Europe);Namco Tennis Smash Court (Europe);Sony PlayStation;;1996;SCEE;Sports/Tennis;;;;;0;;;;;
