Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Game Boy Advance Video - Teenage Mutant Ninja Turtles - Things Change (USA, Europe);Nintendo Game Boy Advance;;2004;Majesco Games;Miscellaneous;;;;;0;;;;;
tmnt;Teenage Mutant Ninja Turtles (World 4 Players);Mame;;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmnthh;Teenage Mutant Ninja Turtles - The Hyperstone Heist (USA);Final Burn Alpha;tmhthh;1992;Konami;;;;;;0;;;;;
tmnti;Teenage Mutant Ninja Turtles (Intro demo) [Demo, You must use the Universe BIOS and set region to Japan AES];Final Burn Alpha;;2009;Sergi;;;;;;0;;;;;
tmntia;Teenage Mutant Ninja Turtles (Intro demo, alt) [Demo, You must use the Universe BIOS and set region to Japan AES];Final Burn Alpha;tmnti;2009;Sergi;;;;;;0;;;;;
tmntj;Teenage Mutant Ninja Turtles (Japan 4 Players);Arcade;tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntj;Teenage Mutant Ninja Turtles (Japan 4 Players);Final Burn Alpha;tmnt;1990;Konami;;;;;;0;;;;;
tmntj;Teenage Mutant Ninja Turtles (Japan 4 Players);MAME (Advance);tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntj;Teenage Mutant Ninja Turtles (Japan 4 Players);MAME (Libretro);tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntj;Teenage Mutant Ninja Turtles (Japan 4 Players);MAME (Mame4all);tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntj;Teenage Mutant Ninja Turtles (Japan 4 Players);Mame;tmnt;1990;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntru;Teenage Mutant Ninja Turtles - Vozvrashchenie Legendy (Rus);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
tmntshj;Teenage Mutant Ninja Turtles - Return of the Shredder (Jpn);Final Burn Alpha;tmhthh;1992;Konami;;;;;;0;;;;;
tmnttfj;Teenage Mutant Ninja Turtles - Tournament Fighters (Jpn);Final Burn Alpha;tmhttf;1993;Konami;;;;;;0;;;;;
tmnttfu;Teenage Mutant Ninja Turtles - Tournament Fighters (USA);Final Burn Alpha;tmhttf;1993;Konami;;;;;;0;;;;;
tmntu;Teenage Mutant Ninja Turtles (US 4 Players, set 1);Arcade;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntu;Teenage Mutant Ninja Turtles (US 4 Players, set 1);Final Burn Alpha;tmnt;1989;Konami;;;;;;0;;;;;
tmntu;Teenage Mutant Ninja Turtles (US 4 Players, set 1);MAME (Advance);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntu;Teenage Mutant Ninja Turtles (US 4 Players, set 1);MAME (Libretro);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntu;Teenage Mutant Ninja Turtles (US 4 Players, set 1);MAME (Mame4all);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntu;Teenage Mutant Ninja Turtles (US 4 Players, set 1);Mame;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntua;Teenage Mutant Ninja Turtles (US 4 Players, set 2);Arcade;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntua;Teenage Mutant Ninja Turtles (US 4 Players, set 2);Final Burn Alpha;tmnt;1989;Konami;;;;;;0;;;;;
tmntua;Teenage Mutant Ninja Turtles (US 4 Players, set 2);MAME (Advance);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntua;Teenage Mutant Ninja Turtles (US 4 Players, set 2);MAME (Libretro);tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
tmntua;Teenage Mutant Ninja Turtles (US 4 Players, set 2);Mame;tmnt;1989;Konami;Fighter / 2.5D;;;;;0;;;;;
