#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
gotcha;gotcha;FBA;;;;;;;;;;;;;
gowcaizr;gowcaizr;FBA;;;;;;;;;;;;;
gpilots;gpilots;FBA;;;;;;;;;;;;;
gradius2;gradius2;FBA;;;;;;;;;;;;;
gradius3;gradius3;FBA;;;;;;;;;;;;;
grasspin;grasspin;FBA;;;;;;;;;;;;;
grdian;grdian;FBA;;;;;;;;;;;;;
grdians;grdians;FBA;;;;;;;;;;;;;
grdnstrm;grdnstrm;FBA;;;;;;;;;;;;;
grindstm;grindstm;FBA;;;;;;;;;;;;;
growl;growl;FBA;;;;;;;;;;;;;
gtmr;gtmr;FBA;;;;;;;;;;;;;
gtmr2;gtmr2;FBA;;;;;;;;;;;;;
gulfstrm;gulfstrm;FBA;;;;;;;;;;;;;
gumbo;gumbo;FBA;;;;;;;;;;;;;
gunbird;gunbird;FBA;;;;;;;;;;;;;
gunbird2;gunbird2;FBA;;;;;;;;;;;;;
gundamex;gundamex;FBA;;;;;;;;;;;;;
gundhara;gundhara;FBA;;;;;;;;;;;;;
gundl94;gundl94;FBA;;;;;;;;;;;;;
gunforc2;gunforc2;FBA;;;;;;;;;;;;;
gunforce;gunforce;FBA;;;;;;;;;;;;;
gunfront;gunfront;FBA;;;;;;;;;;;;;
gunnail;gunnail;FBA;;;;;;;;;;;;;
gunsmoke;gunsmoke;FBA;;;;;;;;;;;;;
gururin;gururin;FBA;;;;;;;;;;;;;
gutsn;gutsn;FBA;;;;;;;;;;;;;
guwange;guwange;FBA;;;;;;;;;;;;;
gwar;gwar;FBA;;;;;;;;;;;;;
gwarrior;gwarrior;FBA;;;;;;;;;;;;;
gyrodine;gyrodine;FBA;;;;;;;;;;;;;
gyruss;gyruss;FBA;;;;;;;;;;;;;
hachamf;hachamf;FBA;;;;;;;;;;;;;
hachoo;hachoo;FBA;;;;;;;;;;;;;
hal21;hal21;FBA;;;;;;;;;;;;;
hamaway;hamaway;FBA;;;;;;;;;;;;;
hangly;hangly;FBA;;;;;;;;;;;;;
hangon;hangon;FBA;;;;;;;;;;;;;
hardhea2;hardhea2;FBA;;;;;;;;;;;;;
hardhead;hardhead;FBA;;;;;;;;;;;;;
