gauntletr5;Gauntlet (rev 5);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr5;Gauntlet (rev 5);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr5;Gauntlet (rev 5);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr7;Gauntlet (rev 7);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr7;Gauntlet (rev 7);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletr7;Gauntlet (rev 7);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr7;Gauntlet (rev 7);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr7;Gauntlet (rev 7);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr9;Gauntlet (rev 9);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr9;Gauntlet (rev 9);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntletr9;Gauntlet (rev 9);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr9;Gauntlet (rev 9);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntletr9;Gauntlet (rev 9);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlets;Gauntlet (Spanish, rev 15);Arcade;gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlets;Gauntlet (Spanish, rev 15);Final Burn Alpha;gauntlet;1985;Atari Games;;;;;;0;;;;;
gauntlets;Gauntlet (Spanish, rev 15);MAME (Advance);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlets;Gauntlet (Spanish, rev 15);MAME (Libretro);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
gauntlets;Gauntlet (Spanish, rev 15);MAME (Mame4all);gauntlet;1985;Atari Games;Maze / Shooter Large;;;;;0;;;;;
Gauntlet - The Deeper Dungeons (Europe);Gauntlet - The Deeper Dungeons (Europe);Amstrad CPC;;1987;U.S. Gold;Shoot-'Em-Up;;;;;0;;;;;
Gauntlet - The Deeper Dungeons (Europe);Gauntlet - The Deeper Dungeons (Europe);Commodore 64;;1987;US Gold;Action;;;;;0;;;;;
Gauntlet - The Deeper Dungeons (Europe);Gauntlet - The Deeper Dungeons (Europe);Sinclair ZX Spectrum;;1987;US Gold;Maze;;;;;0;;;;;
Gauntlet - The Third Encounter (USA, Europe);Gauntlet - The Third Encounter (USA, Europe);Atari Lynx;;1990;Epyx;Adventure;;;;;0;;;;;
Gauntlet (USA);Gauntlet (USA);Atari 2600;;1983;Answer Software Corporation - TY Associates;Action;;;;;0;;;;;
Gauntlet (USA);Gauntlet (USA);Commodore 64;;1986;Mindscape, Inc.;Action;;;;;0;;;;;
Gauntlet (USA);Gauntlet (USA);Nintendo Entertainment System;;1987;Tengen;Action;;;;;0;;;;;
Gauntlet (US Gold) (Europe);Gauntlet (US Gold) (Europe);Amstrad CPC;;1986;U.S. Gold;Shoot-'Em-Up;;;;;0;;;;;
gauntlt4a;Gauntlet IV (Euro, USA, 199308);Final Burn Alpha;gauntlt4;1993;Tengen;;;;;;0;;;;;
gauntlt4;Gauntlet IV (Euro, USA, 199309);Final Burn Alpha;;1993;Tengen;;;;;;0;;;;;
gauntlt4j;Gauntlet (Jpn);Final Burn Alpha;gauntlt4;1993;Tengen;;;;;;0;;;;;
pc_gntlt;Gauntlet (PlayChoice-10);Arcade;;1985;Atari / Tengen (Nintendo of America license);Maze / Shooter Large;;;;;0;;;;;
pc_gntlt;Gauntlet (PlayChoice-10);MAME (Advance);;1985;Atari / Tengen (Nintendo of America license);Maze / Shooter Large;;;;;0;;;;;
pc_gntlt;Gauntlet (PlayChoice-10);MAME (Libretro);;1985;Atari / Tengen (Nintendo of America license);Maze / Shooter Large;;;;;0;;;;;
pc_gntlt;Gauntlet (PlayChoice-10);MAME (Mame4all);;1985;Atari / Tengen (Nintendo of America license);Maze / Shooter Large;;;;;0;;;;;
