troangel;Tropical Angel;MAME (Advance);;1983;Irem;Sports/Skiing;;;;;0;;;;;
troangel;Tropical Angel;MAME (Libretro);;1983;Irem;Sports / Skiing;;;;;0;;;;;
troangel;Tropical Angel;MAME (Libretro);;1983;Irem;Sports/Skiing;;;;;0;;;;;
troangel;Tropical Angel;MAME (Mame4all);;1983;Irem;Sports / Skiing;;;;;0;;;;;
troangel;Tropical Angel;MAME (Mame4all);;1983;Irem;Sports/Skiing;;;;;0;;;;;
vsslalom;Vs. Slalom;Arcade;;1986;Rare Coin-It Inc.;Sports / Skiing;;;;;0;;;;;
vsslalom;Vs. Slalom;Final Burn Alpha;;1986;Rare Coin-It Inc.;Sports / Skiing;;;;;0;;;;;
vsslalom;Vs. Slalom;MAME (Advance);;1986;Rare Coin-It Inc.;Sports / Skiing;;;;;0;;;;;
vsslalom;Vs. Slalom;MAME (Libretro);;1986;Rare Coin-It Inc.;Sports / Skiing;;;;;0;;;;;
vsslalom;Vs. Slalom;MAME (Mame4all);;1986;Rare Coin-It Inc.;Sports / Skiing;;;;;0;;;;;
Wakuwaku Ski Wonder Spur (Japan);Wakuwaku Ski Wonder Spur (Japan);Nintendo Super Famicom;;1995;Human Club;Sports/Skiing;;;;;0;;;;;
waterski;Water Ski;Arcade;;1983;Taito Corporation;Sports / Skiing;;;;;0;;;;;
waterski;Water Ski;Arcade;;1983;Taito Corporation;Sports/Skiing;;;;;0;;;;;
waterski;Water Ski;Final Burn Alpha;;1983;Taito Corporation;Sports/Skiing;;;;;0;;;;;
waterski;Water Ski;MAME (Advance);;1983;Taito Corporation;Sports / Skiing;;;;;0;;;;;
waterski;Water Ski;MAME (Advance);;1983;Taito Corporation;Sports/Skiing;;;;;0;;;;;
waterski;Water Ski;MAME (Libretro);;1983;Taito Corporation;Sports / Skiing;;;;;0;;;;;
waterski;Water Ski;MAME (Libretro);;1983;Taito Corporation;Sports/Skiing;;;;;0;;;;;
waterski;Water Ski;MAME (Mame4all);;1983;Taito Corporation;Sports / Skiing;;;;;0;;;;;
waterski;Water Ski;MAME (Mame4all);;1983;Taito Corporation;Sports/Skiing;;;;;0;;;;;
Whipper-Snapper's Race (Europe) (Unl);Whipper-Snapper's Race (Europe) (Unl);Atari ST;;1995;New Design;Sports/Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);Arcade;;1997;Sega;Sports / Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);Arcade;;1997;Sega;Sports/Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);Final Burn Alpha;;1997;Sega;Sports/Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);MAME (Advance);;1997;Sega;Sports / Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);MAME (Advance);;1997;Sega;Sports/Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);MAME (Libretro);;1997;Sega;Sports / Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);MAME (Libretro);;1997;Sega;Sports/Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);MAME (Mame4all);;1997;Sega;Sports / Skiing;;;;;0;;;;;
winterht;Winter Heat (JUET 971012 V1.000);MAME (Mame4all);;1997;Sega;Sports/Skiing;;;;;0;;;;;
X Games Pro Boarder (USA);X Games Pro Boarder (USA);Sony PlayStation;;1998;Electronic Arts;Sports/Snowboarding;;;;;0;;;;;
X Games Pro Boarder (USA);X Games Pro Boarder (USA);Sony PSP;;1998;Electronic Arts;Sports/Snowboarding;;;;;0;;;;;
