#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - A View to a Kill;007 - A View to a Kill;Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Disk 2) (Twentieth Century History 12-Adult);Answer Back Junior Quiz (Europe) (Disk 2) (Twentieth Century History 12-Adult);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Disk 3) (Sports 14-Adult);Answer Back Junior Quiz (Europe) (Disk 3) (Sports 14-Adult);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Disk 4) (Spelling 6-11);Answer Back Junior Quiz (Europe) (Disk 4) (Spelling 6-11);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Disk 5) (Senior General Knowledge 12-Adult);Answer Back Junior Quiz (Europe) (Disk 5) (Senior General Knowledge 12-Adult);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Disk 6) (Natural History 10-Adult);Answer Back Junior Quiz (Europe) (Disk 6) (Natural History 10-Adult);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Disk 7) (Association Football 12-Adult);Answer Back Junior Quiz (Europe) (Disk 7) (Association Football 12-Adult);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Tape 1 Side A);Answer Back Junior Quiz (Europe) (Tape 1 Side A);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Tape 1 Side B);Answer Back Junior Quiz (Europe) (Tape 1 Side B);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Tape 2 Side A) (General Science 14-Adult);Answer Back Junior Quiz (Europe) (Tape 2 Side A) (General Science 14-Adult);Amstrad CPC;;;;;;;;;;;;;;
Answer Back Junior Quiz (Europe) (Tape 2 Side B) (General Science 14-Adult);Answer Back Junior Quiz (Europe) (Tape 2 Side B) (General Science 14-Adult);Amstrad CPC;;;;;;;;;;;;;;
Ant Attack (Europe) (Unl);Ant Attack (Europe) (Unl);Amstrad CPC;;2014;;;;;;;;;;;;
Antares (Spain);Antares (Spain);Amstrad CPC;;;Dro Soft;;;;;;;;;;;
Apocalypse (France) (Side A);Apocalypse (France) (Side A);Amstrad CPC;;;;;;;;;;;;;;
Apocalypse (France) (Side B);Apocalypse (France) (Side B);Amstrad CPC;;;;;;;;;;;;;;
Apprentice, The (Europe);Apprentice, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
Aqua (Europe) (Unl);Aqua (Europe) (Unl);Amstrad CPC;;2006;;;;;;;;;;;;
Aquad (France);Aquad (France);Amstrad CPC;;;;;;;;;;;;;;
Aquanaute (France);Aquanaute (France);Amstrad CPC;;;;;;;;;;;;;;
Arachnophobia;Arachnophobia;Amstrad CPC;;;;;;;;;;;;;;
Arachnophobia (Europe) (Disk 1);Arachnophobia (Europe) (Disk 1);Amstrad CPC;;;;;;;;;;;;;;
Arachnophobia (Europe) (Disk 2);Arachnophobia (Europe) (Disk 2);Amstrad CPC;;;;;;;;;;;;;;
Arc Educational Disc (Europe) (Side A);Arc Educational Disc (Europe) (Side A);Amstrad CPC;;;;;;;;;;;;;;
Arc Educational Disc (Europe) (Side B);Arc Educational Disc (Europe) (Side B);Amstrad CPC;;;;;;;;;;;;;;
Arcade Flight Simulator (Europe);Arcade Flight Simulator (Europe);Amstrad CPC;;;;;;;;;;;;;;
Arcade Fruit Machine (Europe);Arcade Fruit Machine (Europe);Amstrad CPC;;;;;;;;;;;;;;
Arcade Trivia Quiz Simulator (Europe);Arcade Trivia Quiz Simulator (Europe);Amstrad CPC;;;;;;;;;;;;;;
Archers, The (Europe);Archers, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
Archon (Europe);Archon (Europe);Amstrad CPC;;;;;;;;;;;;;;
Archon II - Adept (Europe);Archon II - Adept (Europe);Amstrad CPC;;;;;;;;;;;;;;
Arcos (Europe) (Unl);Arcos (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Arctic Fox (Europe);Arctic Fox (Europe);Amstrad CPC;;;;;;;;;;;;;;
Area 51 (Europe) (Unl);Area 51 (Europe) (Unl);Amstrad CPC;;2006;;;;;;;;;;;;
Arena (Bug-Byte) (Europe);Arena (Bug-Byte) (Europe);Amstrad CPC;;;;;;;;;;;;;;
Arena (Top Ten) (Europe);Arena (Top Ten) (Europe);Amstrad CPC;;;;;;;;;;;;;;
Argo Navis;Argo Navis;Amstrad CPC;;;;Action / Adventure / Flight Simulator / Platform;;;;;;;;;;
Argo Navis (Europe);Argo Navis (Europe);Amstrad CPC;;;;Action / Adventure / Flight Simulator / Platform;;;;;;;;;;
Arkanoid (Europe);Arkanoid (Europe);Amstrad CPC;;1987;;Action;;;;;;;;;;
Arkanoid Construction Set;Arkanoid Construction Set;Amstrad CPC;;;;;;;;;;;;;;
Arkanoid II - Revenge of Doh;Arkanoid II - Revenge of Doh;Amstrad CPC;;;;;;;;;;;;;;
Arkanoid II - Revenge of Doh (Europe);Arkanoid II - Revenge of Doh (Europe);Amstrad CPC;;;;;;;;;;;;;;
Arkanoid III - Doh Strikes Again (Europe) (Unl);Arkanoid III - Doh Strikes Again (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Arkanoid III - The Last Chance (Europe) (Unl);Arkanoid III - The Last Chance (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Arkanoid IV (Europe) (Unl);Arkanoid IV (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Arkanoid V (Europe) (Unl);Arkanoid V (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Arkos;Arkos;Amstrad CPC;;;;;;;;;;;;;;
Arkos (Spain);Arkos (Spain);Amstrad CPC;;;;;;;;;;;;;;
Armageddon Man, The (Europe);Armageddon Man, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
Army Moves (Europe);Army Moves (Europe);Amstrad CPC;;1986;Dinamic Software;Action;1;;;;;;;;;
Arnhem (Europe);Arnhem (Europe);Amstrad CPC;;;;;;;;;;;;;;
Arnie's America's Cup Challenge (Europe);Arnie's America's Cup Challenge (Europe);Amstrad CPC;;;;;;;;;;;;;;
Arnold Goes to Somewhere Else (Europe);Arnold Goes to Somewhere Else (Europe);Amstrad CPC;;;;;;;;;;;;;;
Arnold in the Haunted House;Arnold in the Haunted House;Amstrad CPC;;;;;;;;;;;;;;
Arquimedes XXI (Europe) (Unl);Arquimedes XXI (Europe) (Unl);Amstrad CPC;;2011;;;;;;;;;;;;
Artura (Europe);Artura (Europe);Amstrad CPC;;;;;;;;;;;;;;
Asalto (Spain);Asalto (Spain);Amstrad CPC;;;;;;;;;;;;;;
Ashkeron (Europe);Ashkeron (Europe);Amstrad CPC;;;;;;;;;;;;;;
Aspar GP Master (Europe);Aspar GP Master (Europe);Amstrad CPC;;;Dinamic;Racing;;;;;;;;;;
Asphalt;Asphalt;Amstrad CPC;;;;;;;;;;;;;;
Asphalt (France);Asphalt (France);Amstrad CPC;;;;;;;;;;;;;;
Asphyxie (France);Asphyxie (France);Amstrad CPC;;;;;;;;;;;;;;
Assassins Guild, The (Europe);Assassins Guild, The (Europe);Amstrad CPC;;;;;;;;;;;;;;
Assault Course (Europe);Assault Course (Europe);Amstrad CPC;;;;;;;;;;;;;;
Assault Port Stanley (Europe);Assault Port Stanley (Europe);Amstrad CPC;;;;;;;;;;;;;;
Asterix and the Magic Cauldron (Europe);Asterix and the Magic Cauldron (Europe);Amstrad CPC;;;;;;;;;;;;;;
Asterix et la Potion Magique;Asterix et la Potion Magique;Amstrad CPC;;;;;;;;;;;;;;
Asterix et la Potion Magique (France);Asterix et la Potion Magique (France);Amstrad CPC;;;;;;;;;;;;;;
Astro (Europe) (Unl);Astro (Europe) (Unl);Amstrad CPC;;;;;;;;;;;;;;
Astro Attack (Europe);Astro Attack (Europe);Amstrad CPC;;;;;;;;;;;;;;
Astro Marine Corps (Europe);Astro Marine Corps (Europe);Amstrad CPC;;;;;;;;;;;;;;
