hexpoola;Hex Pool (Senko);MAME (Advance);racknrol;1985;Senko Industries;Sports / Pool;;;;;0;;;;;
hexpoola;Hex Pool (Senko);MAME (Libretro);racknrol;1985;Senko Industries;Sports / Pool;;;;;0;;;;;
hexpoola;Hex Pool (Senko);MAME (Mame4all);racknrol;1985;Senko Industries;Sports / Pool;;;;;0;;;;;
hexpool;Hex Pool (Shinkai);Arcade;racknrol;1986;Senko Industries (Shinkai Inc. license);Sports / Pool;;;;;0;;;;;
hexpool;Hex Pool (Shinkai);Final Burn Alpha;racknrol;1986;Senko Industries (Shinkai Inc. license);Sports / Pool;;;;;0;;;;;
hexpool;Hex Pool (Shinkai);MAME (Advance);racknrol;1986;Senko Industries (Shinkai Inc. license);Sports / Pool;;;;;0;;;;;
hexpool;Hex Pool (Shinkai);MAME (Libretro);racknrol;1986;Senko Industries (Shinkai Inc. license);Sports / Pool;;;;;0;;;;;
hexpool;Hex Pool (Shinkai);MAME (Mame4all);racknrol;1986;Senko Industries (Shinkai Inc. license);Sports / Pool;;;;;0;;;;;
hustlerb2;Fatsy Gambler (Video Hustler bootleg);Arcade;hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb2;Fatsy Gambler (Video Hustler bootleg);Final Burn Alpha;hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb2;Fatsy Gambler (Video Hustler bootleg);MAME (Advance);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb2;Fatsy Gambler (Video Hustler bootleg);MAME (Libretro);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb2;Fatsy Gambler (Video Hustler bootleg);MAME (Mame4all);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb3;Video Pool (Video Hustler bootleg);Arcade;hustler;1981;bootleg (Videotron);Sports / Pool;;;;;0;;;;;
hustlerb3;Video Pool (Video Hustler bootleg);Final Burn Alpha;hustler;1981;bootleg (Videotron);Sports / Pool;;;;;0;;;;;
hustlerb3;Video Pool (Video Hustler bootleg);MAME (Advance);hustler;1981;bootleg (Videotron);Sports / Pool;;;;;0;;;;;
hustlerb3;Video Pool (Video Hustler bootleg);MAME (Libretro);hustler;1981;bootleg (Videotron);Sports / Pool;;;;;0;;;;;
hustlerb3;Video Pool (Video Hustler bootleg);MAME (Mame4all);hustler;1981;bootleg (Videotron);Sports / Pool;;;;;0;;;;;
hustlerb4;Video Hustler (bootleg, set 2);Arcade;hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb4;Video Hustler (bootleg, set 2);Final Burn Alpha;hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb4;Video Hustler (bootleg, set 2);MAME (Advance);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb4;Video Hustler (bootleg, set 2);MAME (Libretro);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb4;Video Hustler (bootleg, set 2);MAME (Mame4all);hustler;1981;bootleg;Sports / Pool;;;;;0;;;;;
hustlerb;Video Hustler (bootleg, set 1);Arcade;hustler;1981;bootleg (Digimatic);Sports / Pool;;;;;0;;;;;
hustlerb;Video Hustler (bootleg, set 1);Final Burn Alpha;hustler;1981;bootleg (Digimatic);Sports / Pool;;;;;0;;;;;
hustlerb;Video Hustler (bootleg, set 1);MAME (Advance);hustler;1981;bootleg (Digimatic);Sports / Pool;;;;;0;;;;;
hustlerb;Video Hustler (bootleg, set 1);MAME (Libretro);hustler;1981;bootleg (Digimatic);Sports / Pool;;;;;0;;;;;
hustlerb;Video Hustler (bootleg, set 1);MAME (Mame4all);hustler;1981;bootleg (Digimatic);Sports / Pool;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);Arcade;hustler;1981;Konami (Dynamo Games license);Sports / Pool;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);Arcade;hustler;1981;Konami (Dynamo Games license);Sports/Pool and Dart;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);Final Burn Alpha;hustler;1981;Konami (Dynamo Games license);Sports/Pool and Dart;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);MAME (Advance);hustler;1981;Konami (Dynamo Games license);Sports / Pool;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);MAME (Advance);hustler;1981;Konami (Dynamo Games license);Sports/Pool and Dart;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);MAME (Libretro);hustler;1981;Konami (Dynamo Games license);Sports / Pool;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);MAME (Libretro);hustler;1981;Konami (Dynamo Games license);Sports/Pool and Dart;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);MAME (Mame4all);hustler;1981;Konami (Dynamo Games license);Sports / Pool;;;;;0;;;;;
hustlerd;Video Hustler (Dynamo Games);MAME (Mame4all);hustler;1981;Konami (Dynamo Games license);Sports/Pool and Dart;;;;;0;;;;;
Hustler (Europe);Hustler (Europe);Amstrad CPC;;1985;Bubblebus Software;Sports/Pool and Dart;;;;;0;;;;;
Hustler (Europe);Hustler (Europe);Atari ST;;1989;Godax;Sports/Pool and Dart;;;;;0;;;;;
Hustler (Europe);Hustler (Europe);Sinclair ZX Spectrum;;1984;Bubblebus Software;Sports/Pool and Dart;;;;;0;;;;;
Hustler Plays Pool, The (Europe);Hustler Plays Pool, The (Europe);Sinclair ZX Spectrum;;1983;Omega Software;Sports/Pool and Dart;;;;;0;;;;;
hustler;Video Hustler;Arcade;;1981;Konami;Sports / Pool;;;;;0;;;;;
hustler;Video Hustler;Arcade;;1981;Konami;Sports/Pool and Dart;;;;;0;;;;;
hustler;Video Hustler;Final Burn Alpha;;1981;Konami;Sports/Pool and Dart;;;;;0;;;;;
hustler;Video Hustler;MAME (Advance);;1981;Konami;Sports / Pool;;;;;0;;;;;
hustler;Video Hustler;MAME (Advance);;1981;Konami;Sports/Pool and Dart;;;;;0;;;;;
hustler;Video Hustler;MAME (Libretro);;1981;Konami;Sports / Pool;;;;;0;;;;;
hustler;Video Hustler;MAME (Libretro);;1981;Konami;Sports/Pool and Dart;;;;;0;;;;;
hustler;Video Hustler;MAME (Mame4all);;1981;Konami;Sports / Pool;;;;;0;;;;;
hustler;Video Hustler;MAME (Mame4all);;1981;Konami;Sports/Pool and Dart;;;;;0;;;;;
Jimmy White's 2 - Cueball (USA);Jimmy White's 2 - Cueball (USA);Sony PlayStation;;2000;Bam Entertainment;Sports/Pool and Dart;;;;;0;;;;;
Jimmy White's 2 - Cueball (USA);Jimmy White's 2 - Cueball (USA);Sony PSP;;2000;Bam Entertainment;Sports/Pool and Dart;;;;;0;;;;;
Jimmy White's Whirlwind Snooker (Europe);Jimmy White's Whirlwind Snooker (Europe);Atari ST;;1991;Virgin Mastertronic;Sports/Pool and Dart;;;;;0;;;;;
Jimmy White's Whirlwind Snooker (Europe);Jimmy White's Whirlwind Snooker (Europe);Sega Genesis;;1991;Virgin Interactive;Sports/Pool and Dart;;;;;0;;;;;
Jocky Wilson's Compendium of Darts (Europe);Jocky Wilson's Compendium of Darts (Europe);Amstrad CPC;;1991;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
Jocky Wilson's Compendium of Darts (Europe);Jocky Wilson's Compendium of Darts (Europe);Sinclair ZX Spectrum;;1991;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
Jocky Wilson's Darts Challenge (Europe);Jocky Wilson's Darts Challenge (Europe);Amstrad CPC;;1991;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
Jocky Wilson's Darts Challenge (Europe);Jocky Wilson's Darts Challenge (Europe);Commodore 64;;1988;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
Jocky Wilson's Darts Challenge (Europe);Jocky Wilson's Darts Challenge (Europe);Sinclair ZX Spectrum;;1989;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
Jocky Wilson's Darts Compendium (Europe);Jocky Wilson's Darts Compendium (Europe);Commodore 64;;1991;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
Jocky Wilson's Darts (Europe);Jocky Wilson's Darts (Europe);Atari ST;;1990;Zeppelin Games;Sports/Pool and Dart;;;;;0;;;;;
John Lowe's Ultimate Darts (Europe) (Disk 1);John Lowe's Ultimate Darts (Europe) (Disk 1);Atari ST;;1989;Gremlin Graphics;Sports/Pool and Dart;;;;;0;;;;;
John Lowe's Ultimate Darts (Europe) (Disk 2);John Lowe's Ultimate Darts (Europe) (Disk 2);Atari ST;;1989;Gremlin Graphics;Sports/Pool and Dart;;;;;0;;;;;
John Lowe's Ultimate Darts (Europe);John Lowe's Ultimate Darts (Europe);Commodore 64;;1989;Gremlin Graphics Software Ltd.;Sports/Pool and Dart;;;;;0;;;;;
Kiss Shot (Japan);Kiss Shot (Japan);Sega Genesis;;1991;Sega;Sports/Pool and Dart;;;;;0;;;;;
Liverpool (Europe);Liverpool (Europe);Amstrad CPC;;1990;Grandslam;Sports/Soccer;;;;;0;;;;;
Liverpool (Europe);Liverpool (Europe);Sinclair ZX Spectrum;;1986;D. Corbishley;Sports/Soccer;;;;;0;;;;;
