12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
3wondersu;Three Wonders (USA 910520);MAME (Libretro);3wonders;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wondersu;Three Wonders (USA 910520);MAME (Mame4all);3wonders;1991;Capcom;Multiplay / Compilation;;;;;0;;;;;
3wondersu;Three Wonders (wonder 3 910520 USA);Final Burn Alpha;3wonders;1991;Capcom;;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);Arcade;;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);MAME (Advance);;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);MAME (Libretro);;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzl;3X3 Puzzle (Enterprise);MAME (Mame4all);;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);Arcade;3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);MAME (Advance);3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);MAME (Libretro);3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
3x3puzzla;3X3 Puzzle (Normal);MAME (Mame4all);3x3puzzl;1998;Ace Enterprise;Puzzle / Match * Mature *;;;;;0;;;;;
47pie2;Idol Janshi Su-Chi-Pie 2 (v1.1);Arcade;;1994;Jaleco;Tabletop / Mahjong * Mature *;;;;;0;;;;;
47pie2;Idol Janshi Su-Chi-Pie 2 (v1.1);MAME (Advance);;1994;Jaleco;Tabletop / Mahjong * Mature *;;;;;0;;;;;
47pie2;Idol Janshi Su-Chi-Pie 2 (v1.1);MAME (Libretro);;1994;Jaleco;Tabletop / Mahjong * Mature *;;;;;0;;;;;
47pie2;Idol Janshi Su-Chi-Pie 2 (v1.1);MAME (Mame4all);;1994;Jaleco;Tabletop / Mahjong * Mature *;;;;;0;;;;;
47pie2o;Idol Janshi Su-Chi-Pie 2 (v1.0);Arcade;47pie2;1994;Jaleco;Tabletop / Mahjong * Mature *;;;;;0;;;;;
47pie2o;Idol Janshi Su-Chi-Pie 2 (v1.0);MAME (Advance);47pie2;1994;Jaleco;Tabletop / Mahjong * Mature *;;;;;0;;;;;
47pie2o;Idol Janshi Su-Chi-Pie 2 (v1.0);MAME (Libretro);47pie2;1994;Jaleco;Tabletop / Mahjong * Mature *;;;;;0;;;;;
47pie2o;Idol Janshi Su-Chi-Pie 2 (v1.0);MAME (Mame4all);47pie2;1994;Jaleco;Tabletop / Mahjong * Mature *;;;;;0;;;;;
4enraya;4 En Raya (set 1);Arcade;;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enraya;4 En Raya (set 1);Final Burn Alpha;;1990;IDSA;;;;;;0;;;;;
4enraya;4 En Raya (set 1);MAME (Advance);;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enraya;4 En Raya (set 1);MAME (Libretro);;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enraya;4 En Raya (set 1);MAME (Mame4all);;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);Arcade;4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);Final Burn Alpha;4enraya;1990;IDSA;;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);MAME (Advance);4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);MAME (Libretro);4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);MAME (Mame4all);4enraya;1990;IDSA;Puzzle / Match;;;;;0;;;;;
4in1pb;4 in 1 (Pirate);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
4psimasy;Mahjong 4P Simasyo (Japan);Arcade;;1994;Sphinx / AV Japan;Tabletop / Mahjong * Mature *;;;;;0;;;;;
4psimasy;Mahjong 4P Simasyo (Japan);MAME (Advance);;1994;Sphinx / AV Japan;Tabletop / Mahjong * Mature *;;;;;0;;;;;
4psimasy;Mahjong 4P Simasyo (Japan);MAME (Libretro);;1994;Sphinx / AV Japan;Tabletop / Mahjong * Mature *;;;;;0;;;;;
4psimasy;Mahjong 4P Simasyo (Japan);MAME (Mame4all);;1994;Sphinx / AV Japan;Tabletop / Mahjong * Mature *;;;;;0;;;;;
5clown;Five Clown (English, set 1);Arcade;;1993;IGS;Casino / Cards;;;;;0;;;;;
5clown;Five Clown (English, set 1);MAME (Advance);;1993;IGS;Casino / Cards;;;;;0;;;;;
5clown;Five Clown (English, set 1);MAME (Libretro);;1993;IGS;Casino / Cards;;;;;0;;;;;
5clown;Five Clown (English, set 1);MAME (Mame4all);;1993;IGS;Casino / Cards;;;;;0;;;;;
5clowna;Five Clown (English, set 2);Arcade;5clown;1993;IGS;Casino / Cards;;;;;0;;;;;
5clowna;Five Clown (English, set 2);MAME (Advance);5clown;1993;IGS;Casino / Cards;;;;;0;;;;;
5clowna;Five Clown (English, set 2);MAME (Libretro);5clown;1993;IGS;Casino / Cards;;;;;0;;;;;
5clowna;Five Clown (English, set 2);MAME (Mame4all);5clown;1993;IGS;Casino / Cards;;;;;0;;;;;
5clownsp;Five Clown (Spanish hack);Arcade;5clown;1993;IGS;Casino / Cards;;;;;0;;;;;
5clownsp;Five Clown (Spanish hack);MAME (Advance);5clown;1993;IGS;Casino / Cards;;;;;0;;;;;
5clownsp;Five Clown (Spanish hack);MAME (Libretro);5clown;1993;IGS;Casino / Cards;;;;;0;;;;;
5clownsp;Five Clown (Spanish hack);MAME (Mame4all);5clown;1993;IGS;Casino / Cards;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);Arcade;;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME (Advance);;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME (Libretro);;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64street;64th. Street - A Detective Story (World);MAME (Mame4all);;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);Arcade;64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME (Advance);64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME (Libretro);64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
64streetj;64th. Street - A Detective Story (Japan);MAME (Mame4all);64street;1991;Jaleco;Fighter / 2.5D;;;;;0;;;;;
688atsub;688 Attack Sub (Euro, USA);Final Burn Alpha;;1991;Sega;;;;;;0;;;;;
6pak;6-Pak (USA);Final Burn Alpha;;1996;Sega;;;;;;0;;;;;
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);Arcade;;1990;Dynax;Tabletop / Mahjong * Mature *;;;;;0;;;;;
