#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Mario Kart 64 (USA);Mario Kart 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Party (Europe) (En,Fr,De);Mario Party (Europe) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Party (USA);Mario Party (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Party 2 (USA);Mario Party 2 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Party 3 (Europe) (En,Fr,De,Es);Mario Party 3 (Europe) (En,Fr,De,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Party 3 (USA);Mario Party 3 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Tennis (Europe);Mario Tennis (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Mario Tennis (USA);Mario Tennis (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mega Man 64 (USA);Mega Man 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mia Hamm Soccer 64 (USA) (En,Es);Mia Hamm Soccer 64 (USA) (En,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
Mickey's Speedway USA (USA);Mickey's Speedway USA (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Micro Machines 64 Turbo (Europe) (En,Fr,De,Es,It);Micro Machines 64 Turbo (Europe) (En,Fr,De,Es,It);Nintendo 64;;;;;;;;;;;;;;;;;;
Micro Machines 64 Turbo (USA);Micro Machines 64 Turbo (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Midway's Greatest Arcade Hits - Volume 1 (USA);Midway's Greatest Arcade Hits - Volume 1 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mike Piazza's StrikeZone (USA);Mike Piazza's StrikeZone (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Milo's Astro Lanes (USA);Milo's Astro Lanes (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mischief Makers (USA) (Rev A);Mischief Makers (USA) (Rev A);Nintendo 64;;;;;;;;;;;;;;;;;;
Mission Impossible (USA);Mission Impossible (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Monaco Grand Prix (USA);Monaco Grand Prix (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Monopoly (USA);Monopoly (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Monster Truck Madness 64 (USA);Monster Truck Madness 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mortal Kombat 4 (Europe);Mortal Kombat 4 (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Mortal Kombat 4 (USA);Mortal Kombat 4 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mortal Kombat Mythologies - Sub-Zero (USA);Mortal Kombat Mythologies - Sub-Zero (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mortal Kombat Trilogy (USA) (Rev B);Mortal Kombat Trilogy (USA) (Rev B);Nintendo 64;;;;;;;;;;;;;;;;;;
Ms. Pac-Man - Maze Madness (USA);Ms. Pac-Man - Maze Madness (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Mystical Ninja 2 Starring Goemon (Europe) (En,Fr,De);Mystical Ninja 2 Starring Goemon (Europe) (En,Fr,De);Nintendo 64;;;;;;;;;;;;;;;;;;
Mystical Ninja Starring Goemon (Europe);Mystical Ninja Starring Goemon (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
Mystical Ninja Starring Goemon (USA);Mystical Ninja Starring Goemon (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NASCAR 2000 (USA);NASCAR 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NASCAR 99 (USA);NASCAR 99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA Courtside 2 featuring Kobe Bryant (USA);NBA Courtside 2 featuring Kobe Bryant (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA Hangtime (USA);NBA Hangtime (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA Jam 2000 (USA);NBA Jam 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA Jam 99 (Europe);NBA Jam 99 (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA Jam 99 (USA);NBA Jam 99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA Live 2000 (USA) (En,Fr,De,Es);NBA Live 2000 (USA) (En,Fr,De,Es);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA Live 99 (USA) (En,Fr,De,Es,It);NBA Live 99 (USA) (En,Fr,De,Es,It);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA Showtime - NBA on NBC (USA);NBA Showtime - NBA on NBC (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA in the Zone '98 (USA);NBA in the Zone '98 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA in the Zone '99 (USA);NBA in the Zone '99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NBA in the Zone 2000 (USA);NBA in the Zone 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NFL Blitz (USA);NFL Blitz (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NFL Blitz - Special Edition (USA);NFL Blitz - Special Edition (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NFL Blitz 2000 (USA);NFL Blitz 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NFL Blitz 2001 (USA);NFL Blitz 2001 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NFL Quarterback Club 2000 (USA);NFL Quarterback Club 2000 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NFL Quarterback Club 2001 (USA);NFL Quarterback Club 2001 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NFL Quarterback Club 98 (USA);NFL Quarterback Club 98 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NFL Quarterback Club 99 (USA);NFL Quarterback Club 99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NHL 99 (USA);NHL 99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NHL Blades of Steel '99 (USA);NHL Blades of Steel '99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NHL Breakaway 98 (USA);NHL Breakaway 98 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
NHL Breakaway 99 (USA);NHL Breakaway 99 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Nagano Winter Olympics '98 (USA);Nagano Winter Olympics '98 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
Namco Museum 64 (USA);Namco Museum 64 (USA);Nintendo 64;;;;;;;;;;;;;;;;;;
New Tetris, The (Europe);New Tetris, The (Europe);Nintendo 64;;;;;;;;;;;;;;;;;;
