2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En);2 Games in 1 - Moto GP + GT Advance 3 - Pro Concept Racing (Europe) (En,Fr,De,Es,It+En);Nintendo Game Boy Advance;;2004;THQ;Driving/Motorcycle;;;;;0;;;;;
motorace;MotoRace USA;MAME (Libretro);travrusa;1983;Irem (Williams license);Driving / Race Bike;;;;;0;;;;;
motorace;MotoRace USA;MAME (Libretro);travrusa;1983;Irem (Williams license);Motorcycle;;;;;0;;;;;
motorace;MotoRace USA;MAME (Mame4all);travrusa;1983;Irem (Williams license);Driving / Race Bike;;;;;0;;;;;
motorace;MotoRace USA;MAME (Mame4all);travrusa;1983;Irem (Williams license);Motorcycle;;;;;0;;;;;
Motoracer Advance (USA) (En,Fr,De,Es,It);Motoracer Advance (USA) (En,Fr,De,Es,It);Nintendo Game Boy Advance;;2002;Ubisoft;Motorcycle;;;;;0;;;;;
Motorcycle 500 (Europe);Motorcycle 500 (Europe);Amstrad CPC;;1990;Cult;Motorcycle;;;;;0;;;;;
Motorcycle 500 (Europe);Motorcycle 500 (Europe);Commodore 64;;1990;Cult Games;Motorcycle;;;;;0;;;;;
Motorcycle 500 (Europe);Motorcycle 500 (Europe);Sinclair ZX Spectrum;;1990;Cult Games;Motorcycle;;;;;0;;;;;
Motorcycle Crazy (Europe);Motorcycle Crazy (Europe);Commodore 64;;1984;Kerian UK Ltd.;Adventure;;;;;0;;;;;
Motorcycle Crazy (Europe);Motorcycle Crazy (Europe);Sinclair ZX Spectrum;;1984;Kerian UK;Adventure;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);Arcade;travrusa;1983;Irem (Tecfri license);Driving / Race Bike;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);Arcade;travrusa;1983;Irem (Tecfri license);Motorcycle;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);Final Burn Alpha;travrusa;1983;Irem (Tecfri license);Motorcycle;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);MAME (Advance);travrusa;1983;Irem (Tecfri license);Driving / Race Bike;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);MAME (Advance);travrusa;1983;Irem (Tecfri license);Motorcycle;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);MAME (Libretro);travrusa;1983;Irem (Tecfri license);Driving / Race Bike;;;;;0;;;;;
mototour;MotoTour / Zippy Race (Tecfri license);MAME (Libretro);travrusa;1983;Irem (Tecfri license);Motorcycle;;;;;0;;;;;
