clshroad;Clash-Road;Arcade;;1986;Wood Place Inc.;Driving / Race Bike;;;;;0;;;;;
clshroad;Clash-Road;Final Burn Alpha;;1986;Wood Place Inc.;Driving / Race Bike;;;;;0;;;;;
clshroad;Clash-Road;MAME (Advance);;1986;Wood Place Inc.;Driving / Race Bike;;;;;0;;;;;
clshroad;Clash-Road;MAME (Libretro);;1986;Wood Place Inc.;Driving / Race Bike;;;;;0;;;;;
clshroad;Clash-Road;MAME (Mame4all);;1986;Wood Place Inc.;Driving / Race Bike;;;;;0;;;;;
clshroadd;Clash-Road (Data East license);Arcade;clshroad;1986;Wood Place Inc. (Data East license);Driving / Race Bike;;;;;0;;;;;
clshroadd;Clash-Road (Data East license);MAME (Advance);clshroad;1986;Wood Place Inc. (Data East license);Driving / Race Bike;;;;;0;;;;;
clshroadd;Clash-Road (Data East license);MAME (Libretro);clshroad;1986;Wood Place Inc. (Data East license);Driving / Race Bike;;;;;0;;;;;
clshroadd;Clash-Road (Data East license);MAME (Mame4all);clshroad;1986;Wood Place Inc. (Data East license);Driving / Race Bike;;;;;0;;;;;
clshroads;Clash-Road (Status license);Arcade;clshroad;1986;Wood Place Inc. (Status Game Corp. license);Driving / Race Bike;;;;;0;;;;;
clshroads;Clash-Road (Status license);Final Burn Alpha;clshroad;1986;Wood Place Inc. (Status Game Corp. license);Driving / Race Bike;;;;;0;;;;;
clshroads;Clash-Road (Status license);MAME (Advance);clshroad;1986;Wood Place Inc. (Status Game Corp. license);Driving / Race Bike;;;;;0;;;;;
clshroads;Clash-Road (Status license);MAME (Libretro);clshroad;1986;Wood Place Inc. (Status Game Corp. license);Driving / Race Bike;;;;;0;;;;;
clshroads;Clash-Road (Status license);MAME (Mame4all);clshroad;1986;Wood Place Inc. (Status Game Corp. license);Driving / Race Bike;;;;;0;;;;;
Cocoto - Kart Racer (Europe) (En,Fr,De,Es,It);Cocoto - Kart Racer (Europe) (En,Fr,De,Es,It);Nintendo Game Boy Advance;;2005;BigBen Interactive;Driving;;;;;0;;;;;
contcirc;Continental Circus (World);Arcade;;1987;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
contcirc;Continental Circus (World);MAME (Advance);;1987;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
contcirc;Continental Circus (World);MAME (Libretro);;1987;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
contcirc;Continental Circus (World);MAME (Mame4all);;1987;Taito Corporation Japan;Driving / Race (chase view);;;;;0;;;;;
contcircj;Continental Circus (Japan);Arcade;contcirc;1987;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircj;Continental Circus (Japan);MAME (Advance);contcirc;1987;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircj;Continental Circus (Japan);MAME (Libretro);contcirc;1987;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircj;Continental Circus (Japan);MAME (Mame4all);contcirc;1987;Taito Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircua;Continental Circus (US set 2);Arcade;contcirc;1987;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircua;Continental Circus (US set 2);MAME (Advance);contcirc;1987;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircua;Continental Circus (US set 2);MAME (Libretro);contcirc;1987;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircua;Continental Circus (US set 2);MAME (Mame4all);contcirc;1987;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircu;Continental Circus (US set 1);Arcade;contcirc;1987;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircu;Continental Circus (US set 1);MAME (Advance);contcirc;1987;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircu;Continental Circus (US set 1);MAME (Libretro);contcirc;1987;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
contcircu;Continental Circus (US set 1);MAME (Mame4all);contcirc;1987;Taito America Corporation;Driving / Race (chase view);;;;;0;;;;;
coolridr;Cool Riders;Arcade;;1995;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
coolridr;Cool Riders;MAME (Advance);;1995;Sega;Driving / Race (chase view) Bike;;;;;0;;;;;
