crgolfb;Crowns Golf (set 3);Final Burn Alpha;crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfb;Crowns Golf (set 3);MAME (Advance);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfb;Crowns Golf (set 3);MAME (Libretro);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfb;Crowns Golf (set 3);MAME (Mame4all);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfbt;Champion Golf (bootleg);Arcade;crgolf;1984;bootleg;Sports / Golf;;;;;0;;;;;
crgolfbt;Champion Golf (bootleg);Final Burn Alpha;crgolf;1984;bootleg;Sports / Golf;;;;;0;;;;;
crgolfbt;Champion Golf (bootleg);MAME (Advance);crgolf;1984;bootleg;Sports / Golf;;;;;0;;;;;
crgolfbt;Champion Golf (bootleg);MAME (Libretro);crgolf;1984;bootleg;Sports / Golf;;;;;0;;;;;
crgolfbt;Champion Golf (bootleg);MAME (Mame4all);crgolf;1984;bootleg;Sports / Golf;;;;;0;;;;;
crgolfc;Champion Golf;Arcade;crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfc;Champion Golf;Final Burn Alpha;crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfc;Champion Golf;MAME (Advance);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfc;Champion Golf;MAME (Libretro);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfc;Champion Golf;MAME (Mame4all);crgolf;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolf;Crowns Golf (834-5419-04);Arcade;;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolf;Crowns Golf (834-5419-04);Final Burn Alpha;;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolf;Crowns Golf (834-5419-04);MAME (Advance);;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolf;Crowns Golf (834-5419-04);MAME (Libretro);;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolf;Crowns Golf (834-5419-04);MAME (Mame4all);;1984;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfhi;Crowns Golf in Hawaii;Arcade;;1985;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfhi;Crowns Golf in Hawaii;Final Burn Alpha;;1985;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfhi;Crowns Golf in Hawaii;MAME (Advance);;1985;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfhi;Crowns Golf in Hawaii;MAME (Libretro);;1985;Nasco Japan;Sports / Golf;;;;;0;;;;;
crgolfhi;Crowns Golf in Hawaii;MAME (Mame4all);;1985;Nasco Japan;Sports / Golf;;;;;0;;;;;
CyberTiger (USA);CyberTiger (USA);Sony PlayStation;;1999;Electronic Arts;Sports/Golf;;;;;0;;;;;
CyberTiger (USA);CyberTiger (USA);Sony PSP;;1999;Electronic Arts;Sports/Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);Arcade;;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);Arcade;;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);Final Burn Alpha;;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);MAME (Advance);;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);MAME (Advance);;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);MAME (Libretro);;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);MAME (Libretro);;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);MAME (Mame4all);;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclub;Dynamic Country Club (World, ROM Based);MAME (Mame4all);;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);Arcade;dcclub;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);Arcade;dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);Final Burn Alpha;dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);MAME (Advance);dcclub;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);MAME (Advance);dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);MAME (Libretro);dcclub;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);MAME (Libretro);dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);MAME (Mame4all);dcclub;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclubfd;Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d);MAME (Mame4all);dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);Arcade;dcclub;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);Arcade;dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);Final Burn Alpha;dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);MAME (Advance);dcclub;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);MAME (Advance);dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);MAME (Libretro);dcclub;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);MAME (Libretro);dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);MAME (Mame4all);dcclub;1991;Sega;Sports / Golf;;;;;0;;;;;
dcclubj;Dynamic Country Club (Japan, ROM Based);MAME (Mame4all);dcclub;1991;Sega;Sports/Golf;;;;;0;;;;;
Devil's Course (Japan);Devil's Course (Japan);Sega Genesis;;1994;T&E Soft;Sports/Golf;;;;;0;;;;;
eaglshot;Eagle Shot Golf;Arcade;;1994;Sammy;Sports / Golf;;;;;0;;;;;
eaglshot;Eagle Shot Golf;Final Burn Alpha;;1994;Sammy;Sports / Golf;;;;;0;;;;;
eaglshot;Eagle Shot Golf;MAME (Advance);;1994;Sammy;Sports / Golf;;;;;0;;;;;
eaglshot;Eagle Shot Golf;MAME (Libretro);;1994;Sammy;Sports / Golf;;;;;0;;;;;
eaglshot;Eagle Shot Golf;MAME (Mame4all);;1994;Sammy;Sports / Golf;;;;;0;;;;;
Ernie Els Golf (Europe);Ernie Els Golf (Europe);Sega Game Gear;;1994;Codemasters;Sports/Golf;;;;;0;;;;;
Family Computer Golf - Japan Course (Japan);Family Computer Golf - Japan Course (Japan);Nintendo Famicom Disk System;;1987;Nintendo;Sports/Golf;;;;;0;;;;;
Family Computer Golf - Special Course (Japan);Family Computer Golf - Special Course (Japan);Nintendo Famicom Disk System;;1987;Nintendo;Sports/Golf;;;;;0;;;;;
Family Computer Golf Tournament - Japan Course (Japan);Family Computer Golf Tournament - Japan Course (Japan);Nintendo Famicom Disk System;;1987;Nintendo;Sports/Golf;;;;;0;;;;;
Family Computer Golf - U.S. Course (Japan);Family Computer Golf - U.S. Course (Japan);Nintendo Famicom Disk System;;1987;Nintendo;Sports/Golf;;;;;0;;;;;
Final Round, The (USA);Final Round, The (USA);Sony PlayStation;;1996;Konami;Sports/Golf;;;;;0;;;;;
Final Round, The (USA);Final Round, The (USA);Sony PSP;;1996;Konami;Sports/Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);Arcade;;1988;SNK;Sports / Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);Arcade;;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);Final Burn Alpha;;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);MAME (Advance);;1988;SNK;Sports / Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);MAME (Advance);;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);MAME (Libretro);;1988;SNK;Sports / Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);MAME (Libretro);;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);MAME (Mame4all);;1988;SNK;Sports / Golf;;;;;0;;;;;
fitegolf;Fighting Golf (World?);MAME (Mame4all);;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);Arcade;fitegolf;1988;SNK;Sports / Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);Arcade;fitegolf;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);Final Burn Alpha;fitegolf;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);MAME (Advance);fitegolf;1988;SNK;Sports / Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);MAME (Advance);fitegolf;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);MAME (Libretro);fitegolf;1988;SNK;Sports / Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);MAME (Libretro);fitegolf;1988;SNK;Sports/Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);MAME (Mame4all);fitegolf;1988;SNK;Sports / Golf;;;;;0;;;;;
fitegolfu;Fighting Golf (US);MAME (Mame4all);fitegolf;1988;SNK;Sports/Golf;;;;;0;;;;;
