#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Elemental Gearbolt;Elemental Gearbolt;Sony PlayStation;;;;;;;;;;;;;;;;;;
Elemental Pinball;Elemental Pinball;Sony PlayStation;;;;;;;;;;;;;;;;;;
Europe Racer;Europe Racer;Sony PlayStation;;;;;;;;;;;;;;;;;;
Extreme Ghostbusters - The Ultimate Invasion (Europe) (En,Fr,De,Es,It,Nl);Extreme Ghostbusters - The Ultimate Invasion (Europe) (En,Fr,De,Es,It,Nl);Sony PlayStation;;;;;;;;;;;;;;;;;;
FIFA - Road to World Cup '98;FIFA - Road to World Cup '98;Sony PlayStation;;;;;;;;;;;;;;;;;;
FIFA 2000 - Major League Soccer (USA);FIFA 2000 - Major League Soccer (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
FIFA Football 2002;FIFA Football 2002;Sony PlayStation;;;;;;;;;;;;;;;;;;
FIFA Soccer 2003;FIFA Soccer 2003;Sony PlayStation;;;;;;;;;;;;;;;;;;
Family Game Pack (USA);Family Game Pack (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Fantastic Four;Fantastic Four;Sony PlayStation;;;;;;;;;;;;;;;;;;
Fantastic Night Dreams - Cotton Original (Japan);Fantastic Night Dreams - Cotton Original (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Felony 11-79 (USA);Felony 11-79 (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Fighter Maker;Fighter Maker;Sony PlayStation;;;;;;;;;;;;;;;;;;
Fighters' Impact;Fighters' Impact;Sony PlayStation;;;;;;;;;;;;;;;;;;
Fighting Eyes;Fighting Eyes;Sony PlayStation;;;;;;;;;;;;;;;;;;
Final Fantasy Anthology - Final Fantasy VI (USA);Final Fantasy Anthology - Final Fantasy VI (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Finger Flashing (Japan);Finger Flashing (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Firemen 2, The - Pete & Danny (Japan);Firemen 2, The - Pete & Danny (Japan);Sony PlayStation;;;;;;;;;;;;;;;;;;
Fist;Fist;Sony PlayStation;;;;;;;;;;;;;;;;;;
Floating Runner Quest for the 7 Crystals;Floating Runner Quest for the 7 Crystals;Sony PlayStation;;;;;;;;;;;;;;;;;;
Flying Squadron;Flying Squadron;Sony PlayStation;;;;;;;;;;;;;;;;;;
Ford Racing;Ford Racing;Sony PlayStation;;;;;;;;;;;;;;;;;;
Formula Karts - Special Edition (Europe) (En,De,Es,It);Formula Karts - Special Edition (Europe) (En,De,Es,It);Sony PlayStation;;;;;;;;;;;;;;;;;;
Forsaken;Forsaken;Sony PlayStation;;;;;;;;;;;;;;;;;;
Freestyle Motocross - McGrath vs. Pastrana (USA);Freestyle Motocross - McGrath vs. Pastrana (USA);Sony PlayStation;;;;;;;;;;;;;;;;;;
Frogger;Frogger;Sony PlayStation;;;;;;;;;;;;;;;;;;
Fuuun Gokuu Ninden (The God of Monkey);Fuuun Gokuu Ninden (The God of Monkey);Sony PlayStation;;;;;;;;;;;;;;;;;;
G-Darius;G-Darius;Sony PlayStation;;;;;;;;;;;;;;;;;;
