#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Super Gachapon World - SD Gundam X (Japan) (Translated En);Super Gachapon World - SD Gundam X (Japan) (Translated En);Nintendo Super Famicom;;1992;Bec;Strategy;;;;;0;;;;;
Super Gomoku Narabe - Renju (Japan);Super Gomoku Narabe - Renju (Japan);Nintendo Super Famicom;;1994;Naxat Soft;Board Games;;;;;0;;;;;
Super Gussun Oyoyo (Japan);Super Gussun Oyoyo (Japan);Nintendo Super Famicom;;1995;Kan's;Puzzle;;;;;0;;;;;
Super Gussun Oyoyo 2 (Japan) (Translated En);Super Gussun Oyoyo 2 (Japan) (Translated En);Nintendo Super Famicom;;1996;Kan's;Puzzle;;;;;0;;;;;
Super Indy Champ (Japan);Super Indy Champ (Japan);Nintendo Super Famicom;;1994;Open System;Driving;;;;;0;;;;;
Super Koukou Yakyuu - Ikkyuu Nyuukon (Japan);Super Koukou Yakyuu - Ikkyuu Nyuukon (Japan);Nintendo Super Famicom;;1994;I'Max;Sports/Baseball;;;;;0;;;;;
Super Kyuukyoku Harikiri Stadium (Japan);Super Kyuukyoku Harikiri Stadium (Japan);Nintendo Super Famicom;;1993;Taito Corporation;Sports/Baseball;;;;;0;;;;;
Super Kyuukyoku Harikiri Stadium 2 (Japan);Super Kyuukyoku Harikiri Stadium 2 (Japan);Nintendo Super Famicom;;1994;Now Production;Sports/Baseball;;;;;0;;;;;
Super Loopz (Japan);Super Loopz (Japan);Nintendo Super Famicom;;1994;Graffiti;Puzzle;;;;;0;;;;;
Super Mad Champ (Japan);Super Mad Champ (Japan);Nintendo Super Famicom;;1995;Givro;Driving;;;;;0;;;;;
Super Naxat Open - Golf de Shoubu da Dorabocchan (Japan);Super Naxat Open - Golf de Shoubu da Dorabocchan (Japan);Nintendo Super Famicom;;1994;Kuusou Kagaku;Sports/Golf;;;;;0;;;;;
Super Nazo Puyo - Rulue no Roux (Japan);Super Nazo Puyo - Rulue no Roux (Japan);Nintendo Super Famicom;;1995;Compile;Puzzle;;;;;0;;;;;
Super Nazo Puyo Tsuu - Rulue no Tetsuwan Hanjouki (Japan);Super Nazo Puyo Tsuu - Rulue no Tetsuwan Hanjouki (Japan);Nintendo Super Famicom;;1996;Compile;Puzzle;;;;;0;;;;;
Super Ninja-kun (Japan);Super Ninja-kun (Japan);Nintendo Super Famicom;;1994;Jaleco Entertainment;Action;;;;;0;;;;;
Super Oozumou - Nessen Ooichiban (Japan);Super Oozumou - Nessen Ooichiban (Japan);Nintendo Super Famicom;;1992;Namco;Sports/Wrestling;;;;;0;;;;;
Super Pinball II - The Amazing Odyssey (Japan);Super Pinball II - The Amazing Odyssey (Japan);Nintendo Super Famicom;;1995;Kaze;Pinball;;;;;0;;;;;
Super Power League (Japan);Super Power League (Japan);Nintendo Super Famicom;;1993;Now Production;Sports/Baseball;;;;;0;;;;;
Super Power League 2 (Japan);Super Power League 2 (Japan);Nintendo Super Famicom;;1994;Now Production;Sports/Baseball;;;;;0;;;;;
Super Power League 3 (Japan);Super Power League 3 (Japan);Nintendo Super Famicom;;1995;Now Production;Sports/Baseball;;;;;0;;;;;
Super Power League 4 (Japan);Super Power League 4 (Japan);Nintendo Super Famicom;;1996;Now Production;Sports/Baseball;;;;;0;;;;;
Super Professional Baseball (Japan);Super Professional Baseball (Japan);Nintendo Super Famicom;;1991;TOSE;Sports/Baseball;;;;;0;;;;;
Super Professional Baseball II (Japan);Super Professional Baseball II (Japan);Nintendo Super Famicom;;1992;TOSE;Sports/Baseball;;;;;0;;;;;
Super Puyo Puyo (Japan);Super Puyo Puyo (Japan);Nintendo Super Famicom;;1993;Compile;Puzzle;;;;;0;;;;;
Super Puyo Puyo Tsuu (Japan) (Translated En);Super Puyo Puyo Tsuu (Japan) (Translated En);Nintendo Super Famicom;;1995;Compile;Puzzle;;;;;0;;;;;
Super Puyo Puyo Tsuu Remix (Japan);Super Puyo Puyo Tsuu Remix (Japan);Nintendo Super Famicom;;1996;Compile;Puzzle;;;;;0;;;;;
Super Real Mahjong PIV (Japan);Super Real Mahjong PIV (Japan);Nintendo Super Famicom;;1994;Affect;Mahjong;;;;;0;;;;;
Super Real Mahjong PV Paradise - All-Star 4-nin Uchi (Japan);Super Real Mahjong PV Paradise - All-Star 4-nin Uchi (Japan);Nintendo Super Famicom;;1995;Seta Corporation;Mahjong;;;;;0;;;;;
Super Rugby (Japan);Super Rugby (Japan);Nintendo Super Famicom;;1994;TOSE;Sports/Rugby;;;;;0;;;;;
Super Soukoban (Japan);Super Soukoban (Japan);Nintendo Super Famicom;;1993;Thinking Rabbit;Puzzle;;;;;0;;;;;
Super Tekkyuu Fight! (Japan);Super Tekkyuu Fight! (Japan);Nintendo Super Famicom;;1995;Metro;Action;;;;;0;;;;;
Super Tetris 2 + Bombliss (Japan);Super Tetris 2 + Bombliss (Japan);Nintendo Super Famicom;;1992;TOSE;Compilation;;;;;0;;;;;
Super Tetris 3 (Japan);Super Tetris 3 (Japan);Nintendo Super Famicom;;1994;TOSE;Puzzle;;;;;0;;;;;
Super Trump Collection (Japan);Super Trump Collection (Japan);Nintendo Super Famicom;;1995;Bottom Up;Casino;;;;;0;;;;;
Super Trump Collection 2 (Japan);Super Trump Collection 2 (Japan);Nintendo Super Famicom;;1996;Bottom Up;Miscellaneous;;;;;0;;;;;
Super Ultra Baseball (Japan);Super Ultra Baseball (Japan);Nintendo Super Famicom;;1991;Culture Brain;Sports/Baseball;;;;;0;;;;;
Super Ultra Baseball 2 (Japan) (Translated En);Super Ultra Baseball 2 (Japan) (Translated En);Nintendo Super Famicom;;1994;Culture Brain;Sports/Baseball;;;;;0;;;;;
