#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Vs. (USA);Vs. (USA);Sony PlayStation;;;;;;;;;;;;;;
Archer Maclean's 3D Pool (Europe);Archer Maclean's 3D Pool (Europe);Sony PlayStation;;;;;;;;;;;;;;
Area 51 (USA) (v1.1);Area 51 (USA) (v1.1);Sony PlayStation;;1996;Atari;Shooter;;;;;;;;;;
Ark of Time (Europe) (En,Fr,De,Es,It);Ark of Time (Europe) (En,Fr,De,Es,It);Sony PlayStation;;;;;;;;;;;;;;
Armored Core (USA) (v1.1);Armored Core (USA) (v1.1);Sony PlayStation;;1997;Agetec;Action / Shooter;2;;;;;;;;;
Armored Core - Master of Arena (USA);Armored Core - Master of Arena (USA);Sony PlayStation;;2000;Agetec;;2;;;;;;;;;
Armored Core - Project Phantasma (USA);Armored Core - Project Phantasma (USA);Sony PlayStation;;1998;Agetec;Action / Adventure / Shooter;1;;;;;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);Sony PlayStation;;2000;Acclaim;Action;2;;;;;;;;;
Army Men - Air Attack (USA);Army Men - Air Attack (USA);Sony PlayStation;;1999;3DO;Action;2;;;;;;;;;
Army Men - Air Attack 2 (USA);Army Men - Air Attack 2 (USA);Sony PlayStation;;2000;3DO;Action;2;;;;;;;;;
Army Men - Green Rogue (USA);Army Men - Green Rogue (USA);Sony PlayStation;;2001;3DO;;;;;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Sony PlayStation;;2000;3DO;Action;;;;;;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);Sony PlayStation;;2000;3DO;Action;2;;;;;;;;;
Army Men - World War (USA);Army Men - World War (USA);Sony PlayStation;;2000;3DO;Action;;;;;;;;;;
Army Men - World War - Final Front (USA);Army Men - World War - Final Front (USA);Sony PlayStation;;2001;3DO;;;;;;;;;;;
Army Men - World War - Land, Sea, Air (USA);Army Men - World War - Land, Sea, Air (USA);Sony PlayStation;;2000;3DO;Action;;;;;;;;;;
Army Men - World War - Team Assault (USA);Army Men - World War - Team Assault (USA);Sony PlayStation;;2001;3DO;;;;;;;;;;;
Army Men 3D (USA);Army Men 3D (USA);Sony PlayStation;;1999;3DO;Action;2;;;;;;;;;
Arthur! Ready to Race (USA);Arthur! Ready to Race (USA);Sony PlayStation;;2000;Mattel;;4+;;;;;;;;;
Assault - Retribution (USA);Assault - Retribution (USA);Sony PlayStation;;1998;Midway;Action;;;;;;;;;;
Assault Rigs (USA);Assault Rigs (USA);Sony PlayStation;;1996;Psygnosis;Action;1;;;;;;;;;
Asterix & Obelix Take On Caesar (Europe);Asterix & Obelix Take On Caesar (Europe);Sony PlayStation;;2000;Cryo Interactive;Action;2;;;;;;;;;
Asterix (Europe) (En,Fr,De,Nl);Asterix (Europe) (En,Fr,De,Nl);Sony PlayStation;;;;;;;;;;;;;;
Asterix - Mega Madness (Europe) (En,Fr,De,Es,It,Nl);Asterix - Mega Madness (Europe) (En,Fr,De,Es,It,Nl);Sony PlayStation;;2001;Infogrames;;1;;;;;;;;;
Asteroids (USA);Asteroids (USA);Sony PlayStation;;1998;Activision;Shooter;;;;;;;;;;
Atari Anniversary Edition Redux (USA);Atari Anniversary Edition Redux (USA);Sony PlayStation;;2001;Infogrames;Action;2;;;;;;;;;
Atlantis - The Lost Continent (Europe) (En,Fr,De);Atlantis - The Lost Continent (Europe) (En,Fr,De);Sony PlayStation;;2003;Phoenix Games;;;;;;;;;;;
Atlantis - The Lost Tales (Europe);Atlantis - The Lost Tales (Europe);Sony PlayStation;;1998;;Adventure;1;;;;;;;;;
Attack of the Saucerman (Europe) (En,Fr,De,Es,It);Attack of the Saucerman (Europe) (En,Fr,De,Es,It);Sony PlayStation;;1999;Psygnosis;Action;1;;;;;;;;;
Austin Powers Pinball (USA);Austin Powers Pinball (USA);Sony PlayStation;;2002;Gotham Games;;4+;;;;;;;;;
Auto Destruct (USA);Auto Destruct (USA);Sony PlayStation;;1998;Electronic Arts;Action / Racing;1;;;;;;;;;
Ayrton Senna Kart Duel (Europe);Ayrton Senna Kart Duel (Europe);Sony PlayStation;;;;;;;;;;;;;;
Ayrton Senna Kart Duel 2 (Europe);Ayrton Senna Kart Duel 2 (Europe);Sony PlayStation;;;;;;;;;;;;;;
Aztec - The Curse in the Heart of the City of Gold (Europe) (En,Nl);Aztec - The Curse in the Heart of the City of Gold (Europe) (En,Nl);Sony PlayStation;;;;;;;;;;;;;;
Azure Dreams (USA);Azure Dreams (USA);Sony PlayStation;;1998;Konami;Adventure / Role-Playing;1;;;;;;;;;
Baby Felix Tennis (Europe) (En,Fr,De,Es,It,Nl);Baby Felix Tennis (Europe) (En,Fr,De,Es,It,Nl);Sony PlayStation;;2002;LSP;Sports;2;;;;;;;;;
Baby Universe (Europe);Baby Universe (Europe);Sony PlayStation;;1998;SCEE;Music;1;;;;;;;;;
