tetrbx;Tetris / Bloxeed (Korean System 16 bootleg) (ISG Selection Master Type 2006);MAME (Mame4all);;2006;bootleg (ISG);Puzzle / Drop;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);Arcade;tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);Arcade;tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);Final Burn Alpha;tetris;1988;Sega;;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);Final Burn Alpha;tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);MAME (Advance);tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);MAME (Advance);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);MAME (Libretro);tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);MAME (Libretro);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);MAME (Mame4all);tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris1;Tetris (set 1, Japan, System 16B, FD1094 317-0091);MAME (Mame4all);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
Tetris 26 (USA) (Unl);Tetris 26 (USA) (Unl);Atari 2600;;1998;Hozer Video Games - Colin Hughes;Strategy;;;;;0;;;;;
Tetris 2 + Bombliss (Japan);Tetris 2 + Bombliss (Japan);Nintendo Famicom;;1991;Bullet Proof Software;Puzzle;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);Arcade;tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);Arcade;tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);Final Burn Alpha;tetris;1988;Sega;;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);Final Burn Alpha;tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);MAME (Advance);tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);MAME (Advance);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);MAME (Libretro);tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);MAME (Libretro);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);MAME (Mame4all);tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris2;Tetris (set 2, Japan, System 16B, FD1094 317-0092);MAME (Mame4all);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
Tetris 2 (USA, Europe);Tetris 2 (USA, Europe);Nintendo Game Boy;;1993;Nintendo;Puzzle;;;;;0;;;;;
Tetris 2 (USA);Tetris 2 (USA);Nintendo Entertainment System;;1993;Nintendo;Puzzle;;;;;0;;;;;
Tetris 2 (USA);Tetris 2 (USA);Super Nintendo Entertainment System;;1994;Nintendo;Puzzle;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);Arcade;tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);Arcade;tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);Final Burn Alpha;tetris;1988;Sega;;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);Final Burn Alpha;tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);MAME (Advance);tetris;1988;Sega;Puzzle;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);MAME (Advance);tetris;1988;Sega;Puzzle / Drop;;;;;0;;;;;
tetris3;Tetris (set 3, Japan, System 16A, FD1094 317-0093a);MAME (Libretro);tetris;1988;Sega;Puzzle;;;;;0;;;;;
