Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Bishoujo Senshi Sailor Moon - Another Story (Japan) (Translated En);Nintendo Super Famicom;;1995;Angel (Bandai);Role-Playing;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (Ver. 95/03/22, Japan);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (ver. 95/03/22, Japan);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (Ver. 95/03/22, Japan);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (ver. 95/03/22, Japan);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (Ver. 95/03/22, Japan);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (ver. 95/03/22, Japan);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnoj;Pretty Soldier Sailor Moon (Ver. 95/03/22, Japan);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (ver. 95/03/22, Korea);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (Ver. 95/03/22, Korea);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (ver. 95/03/22, Korea);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (Ver. 95/03/22, Korea);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (ver. 95/03/22, Korea);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (Ver. 95/03/22, Korea);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (ver. 95/03/22, Korea);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (Ver. 95/03/22, Korea);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (ver. 95/03/22, Korea);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnok;Pretty Soldier Sailor Moon (Ver. 95/03/22, Korea);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (ver. 95/03/22, Europe);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (Ver. 95/03/22, Europe);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (ver. 95/03/22, Europe);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (Ver. 95/03/22, Europe);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (ver. 95/03/22, Europe);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (Ver. 95/03/22, Europe);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (ver. 95/03/22, Europe);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (Ver. 95/03/22, Europe);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (ver. 95/03/22, Europe);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormno;Pretty Soldier Sailor Moon (Ver. 95/03/22, Europe);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (ver. 95/03/22, Taiwan);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (Ver. 95/03/22, Taiwan);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (ver. 95/03/22, Taiwan);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (Ver. 95/03/22, Taiwan);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (ver. 95/03/22, Taiwan);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (Ver. 95/03/22, Taiwan);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (ver. 95/03/22, Taiwan);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (Ver. 95/03/22, Taiwan);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (ver. 95/03/22, Taiwan);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnot;Pretty Soldier Sailor Moon (Ver. 95/03/22, Taiwan);MAME (Mame4all);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (ver. 95/03/22, USA);Arcade;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (Ver. 95/03/22, USA);Arcade;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (ver. 95/03/22, USA);Final Burn Alpha;sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (Ver. 95/03/22, USA);Final Burn Alpha;sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (ver. 95/03/22, USA);MAME (Advance);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (Ver. 95/03/22, USA);MAME (Advance);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (ver. 95/03/22, USA);MAME (Libretro);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (Ver. 95/03/22, USA);MAME (Libretro);sailormn;1995;Gazelle (Banpresto license);Fighter / 2.5D;;;;;0;;;;;
sailormnou;Pretty Soldier Sailor Moon (ver. 95/03/22, USA);MAME (Mame4all);sailormn;1995;BanPresto / Gazelle;;;;;;0;;;;;
