canasta;Canasta '86';MAME (Advance);;1986;Inder;Electromechanical / Pinball;;;;;0;;;;;
canasta;Canasta '86';MAME (Libretro);;1986;Inder;Electromechanical / Pinball;;;;;0;;;;;
canasta;Canasta '86';MAME (Mame4all);;1986;Inder;Electromechanical / Pinball;;;;;0;;;;;
cc_104;Cactus Canyon (1.04 Test 0.2);Arcade;cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_104;Cactus Canyon (1.04 Test 0.2);MAME (Advance);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_104;Cactus Canyon (1.04 Test 0.2);MAME (Libretro);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_104;Cactus Canyon (1.04 Test 0.2);MAME (Mame4all);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_10;Cactus Canyon (1.0);Arcade;cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_10;Cactus Canyon (1.0);MAME (Advance);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_10;Cactus Canyon (1.0);MAME (Libretro);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_10;Cactus Canyon (1.0);MAME (Mame4all);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_12;Cactus Canyon (1.2);Arcade;cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_12;Cactus Canyon (1.2);MAME (Advance);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_12;Cactus Canyon (1.2);MAME (Libretro);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_12;Cactus Canyon (1.2);MAME (Mame4all);cc_13;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_13;Cactus Canyon (1.3);Arcade;;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_13;Cactus Canyon (1.3);MAME (Advance);;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_13;Cactus Canyon (1.3);MAME (Libretro);;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
cc_13;Cactus Canyon (1.3);MAME (Mame4all);;1998;Bally;Electromechanical / Pinball;;;;;0;;;;;
chucklck;Chuck-A-Luck;Arcade;;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
chucklck;Chuck-A-Luck;MAME (Advance);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
chucklck;Chuck-A-Luck;MAME (Libretro);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
chucklck;Chuck-A-Luck;MAME (Mame4all);;1978;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
circa33;Circa 1933;Arcade;;1979;Fascination Int.;Electromechanical / Pinball;;;;;0;;;;;
circa33;Circa 1933;MAME (Advance);;1979;Fascination Int.;Electromechanical / Pinball;;;;;0;;;;;
circa33;Circa 1933;MAME (Libretro);;1979;Fascination Int.;Electromechanical / Pinball;;;;;0;;;;;
circa33;Circa 1933;MAME (Mame4all);;1979;Fascination Int.;Electromechanical / Pinball;;;;;0;;;;;
cntct_l1;Contact (L-1);Arcade;;1978;Williams;Electromechanical / Pinball;;;;;0;;;;;
cntct_l1;Contact (L-1);MAME (Advance);;1978;Williams;Electromechanical / Pinball;;;;;0;;;;;
cntct_l1;Contact (L-1);MAME (Libretro);;1978;Williams;Electromechanical / Pinball;;;;;0;;;;;
cntct_l1;Contact (L-1);MAME (Mame4all);;1978;Williams;Electromechanical / Pinball;;;;;0;;;;;
Cobra Pinball (Europe);Cobra Pinball (Europe);Amstrad CPC;;1985;Cobra Soft;Pinball;;;;;0;;;;;
Combo Pack - Sonic Advance + Sonic Pinball Party (USA) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It);Combo Pack - Sonic Advance + Sonic Pinball Party (USA) (En,Ja,Fr,De,Es+En,Ja,Fr,De,Es,It);Nintendo Game Boy Advance;;2005;Sega;Pinball/Platform;;;;;0;;;;;
comet_l4;Comet (L-4);Arcade;comet_l5;1985;Williams;Electromechanical / Pinball;;;;;0;;;;;
comet_l4;Comet (L-4);MAME (Advance);comet_l5;1985;Williams;Electromechanical / Pinball;;;;;0;;;;;
comet_l4;Comet (L-4);MAME (Libretro);comet_l5;1985;Williams;Electromechanical / Pinball;;;;;0;;;;;
comet_l4;Comet (L-4);MAME (Mame4all);comet_l5;1985;Williams;Electromechanical / Pinball;;;;;0;;;;;
comet_l5;Comet (L-5);Arcade;;1985;Williams;Electromechanical / Pinball;;;;;0;;;;;
comet_l5;Comet (L-5);MAME (Advance);;1985;Williams;Electromechanical / Pinball;;;;;0;;;;;
comet_l5;Comet (L-5);MAME (Libretro);;1985;Williams;Electromechanical / Pinball;;;;;0;;;;;
comet_l5;Comet (L-5);MAME (Mame4all);;1985;Williams;Electromechanical / Pinball;;;;;0;;;;;
coneyis;Old Coney Island!;Arcade;;1979;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
coneyis;Old Coney Island!;MAME (Advance);;1979;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
coneyis;Old Coney Island!;MAME (Libretro);;1979;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
coneyis;Old Coney Island!;MAME (Mame4all);;1979;Game Plan;Electromechanical / Pinball;;;;;0;;;;;
congo_11;Congo (1.1);Arcade;congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_11;Congo (1.1);MAME (Advance);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_11;Congo (1.1);MAME (Libretro);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_11;Congo (1.1);MAME (Mame4all);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_13;Congo (1.3);Arcade;congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_13;Congo (1.3);MAME (Advance);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_13;Congo (1.3);MAME (Libretro);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_13;Congo (1.3);MAME (Mame4all);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_20;Congo (2.0);Arcade;congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_20;Congo (2.0);MAME (Advance);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_20;Congo (2.0);MAME (Libretro);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_20;Congo (2.0);MAME (Mame4all);congo_21;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_21;Congo (2.1);Arcade;;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_21;Congo (2.1);MAME (Advance);;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_21;Congo (2.1);MAME (Libretro);;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
congo_21;Congo (2.1);MAME (Mame4all);;1995;Williams;Electromechanical / Pinball;;;;;0;;;;;
corsario;Corsario;Arcade;;1989;Inder;Electromechanical / Pinball;;;;;0;;;;;
corsario;Corsario;MAME (Advance);;1989;Inder;Electromechanical / Pinball;;;;;0;;;;;
corsario;Corsario;MAME (Libretro);;1989;Inder;Electromechanical / Pinball;;;;;0;;;;;
corsario;Corsario;MAME (Mame4all);;1989;Inder;Electromechanical / Pinball;;;;;0;;;;;
corv_21;Corvette (2.1);Arcade;;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_21;Corvette (2.1);MAME (Advance);;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_21;Corvette (2.1);MAME (Libretro);;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_21;Corvette (2.1);MAME (Mame4all);;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_la1;Corvette (LA1);Arcade;corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_la1;Corvette (LA1);MAME (Advance);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_la1;Corvette (LA1);MAME (Libretro);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_la1;Corvette (LA1);MAME (Mame4all);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_lx1;Corvette (LX1);Arcade;corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_lx1;Corvette (LX1);MAME (Advance);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_lx1;Corvette (LX1);MAME (Libretro);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
corv_lx1;Corvette (LX1);MAME (Mame4all);corv_21;1994;Bally;Electromechanical / Pinball;;;;;0;;;;;
