spaceatt;Space Attack (bootleg of Space Invaders);MAME (Advance);invaders;1978;bootleg (Video Games GmbH);Shooter / Gallery;;;;;0;;;;;
spaceatt;Space Attack (bootleg of Space Invaders);MAME (Libretro);invaders;1978;bootleg (Video Games GmbH);Shooter / Gallery;;;;;0;;;;;
spaceatt;Space Attack (bootleg of Space Invaders);MAME (Mame4all);invaders;1978;bootleg (Video Games GmbH);Shooter / Gallery;;;;;0;;;;;
spacecom;Space Combat (bootleg of Space Invaders);Arcade;invaders;1979;bootleg;Shooter / Gallery;;;;;0;;;;;
spacecom;Space Combat (bootleg of Space Invaders);MAME (Advance);invaders;1979;bootleg;Shooter / Gallery;;;;;0;;;;;
spacecom;Space Combat (bootleg of Space Invaders);MAME (Libretro);invaders;1979;bootleg;Shooter / Gallery;;;;;0;;;;;
spacecom;Space Combat (bootleg of Space Invaders);MAME (Mame4all);invaders;1979;bootleg;Shooter / Gallery;;;;;0;;;;;
spacedx;Space Invaders DX (US, v2.1);Arcade;;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedx;Space Invaders DX (US, v2.1);Final Burn Alpha;;1994;Taito Corporation;;;;;;0;;;;;
spacedx;Space Invaders DX (US, v2.1);MAME (Advance);;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedx;Space Invaders DX (US, v2.1);MAME (Libretro);;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedx;Space Invaders DX (US, v2.1);MAME (Mame4all);;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedxj;Space Invaders DX (Japan, v2.1);Arcade;spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedxj;Space Invaders DX (Japan, v2.1);Final Burn Alpha;spacedx;1994;Taito Corporation;;;;;;0;;;;;
spacedxj;Space Invaders DX (Japan, v2.1);MAME (Advance);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedxj;Space Invaders DX (Japan, v2.1);MAME (Libretro);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedxj;Space Invaders DX (Japan, v2.1);MAME (Mame4all);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedxo;Space Invaders DX (Japan, v2.0);Arcade;spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedxo;Space Invaders DX (Japan, v2.0);Final Burn Alpha;spacedx;1994;Taito Corporation;;;;;;0;;;;;
spacedxo;Space Invaders DX (Japan, v2.0);MAME (Advance);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedxo;Space Invaders DX (Japan, v2.0);MAME (Libretro);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spacedxo;Space Invaders DX (Japan, v2.0);MAME (Mame4all);spacedx;1994;Taito Corporation;Shooter / Gallery;;;;;0;;;;;
spaceinv;Space Invaders - Fukkatsu no Hi;Final Burn Alpha;;1990;Taito;;;;;;0;;;;;
