cpsoccer;Pro Soccer (DECO Cassette);MAME (Mame4all);;1983;Data East Corporation;Sports/Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);Arcade;;1993;Taito Corporation Japan;Sports / Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);Arcade;;1993;Taito Corporation Japan;Sports/Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);Final Burn Alpha;;1993;Taito Corporation Japan;Sports/Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);MAME (Advance);;1993;Taito Corporation Japan;Sports / Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);MAME (Advance);;1993;Taito Corporation Japan;Sports/Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);MAME (Libretro);;1993;Taito Corporation Japan;Sports / Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);MAME (Libretro);;1993;Taito Corporation Japan;Sports/Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);MAME (Mame4all);;1993;Taito Corporation Japan;Sports / Soccer;;;;;0;;;;;
cupfinal;Taito Cup Finals (Ver 1.0O 1993/02/28);MAME (Mame4all);;1993;Taito Corporation Japan;Sports/Soccer;;;;;0;;;;;
Cup Football (Europe);Cup Football (Europe);Amstrad CPC;;1990;Cult;Sports/Soccer;;;;;0;;;;;
Cup Football (Europe);Cup Football (Europe);Commodore 64;;1990;Cult Games;Sports/Soccer;;;;;0;;;;;
Cup Football (Europe);Cup Football (Europe);Sinclair ZX Spectrum;;1988;Cult Games;Sports/Soccer;;;;;0;;;;;
Cup Manager (Europe);Cup Manager (Europe);Sinclair ZX Spectrum;;1990;GTI Software;Sports/Soccer;;;;;0;;;;;
Cyberball (Europe);Cyberball (Europe);Atari ST;;1990;Domark;Sports/Soccer;;;;;0;;;;;
David Beckham Soccer (Europe);David Beckham Soccer (Europe);Nintendo Game Boy Color;;2002;Majesco Games;Sports;;;;;0;;;;;
David Beckham Soccer (USA);David Beckham Soccer (USA);Sony PlayStation;;2002;Majesco Games;Sports/Soccer;;;;;0;;;;;
David Beckham Soccer (USA);David Beckham Soccer (USA);Sony PSP;;2002;Majesco Games;Sports/Soccer;;;;;0;;;;;
Day of the Match (Europe);Day of the Match (Europe);Sinclair ZX Spectrum;;1984;Video Software;Sports/Soccer;;;;;0;;;;;
Dino Dini's Soccer (Europe);Dino Dini's Soccer (Europe);Sega Genesis;;1994;Dini and Dini Productions;Sports/Soccer;;;;;0;;;;;
Dino Dini's Soccer! (Europe);Dino Dini's Soccer! (Europe);Super Nintendo Entertainment System;;1995;Virgin Interactive;Sports;;;;;0;;;;;
