#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Golden Axe III (Japan);Golden Axe III (Japan);Sega Mega Drive Japan;;;Sega;Action, Adventure;2;;;;;;;Golden Axe III;;
Gouketsuji Ichizoku (Japan);Gouketsuji Ichizoku (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
GrandSlam - The Tennis Tournament '92 (Japan);GrandSlam - The Tennis Tournament '92 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Great Circus Mystery - Mickey to Minnie Magical Adventure 2 (Japan);Great Circus Mystery - Mickey to Minnie Magical Adventure 2 (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hei Tao 2 - Super Big 2 (China) (Unl);Hei Tao 2 - Super Big 2 (China) (Unl);Sega Mega Drive Japan;;;;Puzzle;;;;;;;;Hei Tao 2: Super Big 2;;
Hokuto no Ken - Shin Seikimatsu Kyuuseishu Densetsu (Japan);Hokuto no Ken - Shin Seikimatsu Kyuuseishu Densetsu (Japan);Sega Mega Drive Japan;;;Sega;Action;1;;;;;;;Hokuto no Ken: Shin Seikimatsu Kyuuseishu Densetsu;;
Honoo no Toukyuuji - Dodge Danpei (Japan);Honoo no Toukyuuji - Dodge Danpei (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hua Mu Lan - Mulan (China) (Unl);Hua Mu Lan - Mulan (China) (Unl);Sega Mega Drive Japan;;;;Action, Platform;;;;;;;;Hua Mu Lan: Mulan;;
Huan Le Tao Qi Shu - Smart Mouse (China) (Unl);Huan Le Tao Qi Shu - Smart Mouse (China) (Unl);Sega Mega Drive Japan;;;;Puzzle;;;;;;;;Huan Le Tao Qi Shu: Smart Mouse;;
Hybrid Front, The (Japan);Hybrid Front, The (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Hyokkori Hyoutan-jima - Daitouryou wo Mezase! (Japan);Hyokkori Hyoutan-jima - Daitouryou wo Mezase! (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
