samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700);MAME (Advance);;2003;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700);MAME (Libretro);;2003;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700);MAME (Mame4all);;2003;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho5;Samurai Showdown 5;SNK Neo Geo AES;;2003;Yuki Enterprise;Action/Fighting;;;;;0;;;;;
samsho5b;Samurai Shodown V / Samurai Spirits Zero (bootleg) [Bootleg];Final Burn Alpha;samsho5;2003;bootleg;;;;;;0;;;;;
samsho5b;Samurai Shodown V / Samurai Spirits Zero (bootleg);Arcade;samsho5;2003;bootleg;Fighter / Versus;;;;;0;;;;;
samsho5b;Samurai Shodown V / Samurai Spirits Zero (bootleg);MAME (Advance);samsho5;2003;bootleg;Fighter / Versus;;;;;0;;;;;
samsho5b;Samurai Shodown V / Samurai Spirits Zero (bootleg);MAME (Libretro);samsho5;2003;bootleg;Fighter / Versus;;;;;0;;;;;
samsho5b;Samurai Shodown V / Samurai Spirits Zero (bootleg);MAME (Mame4all);samsho5;2003;bootleg;Fighter / Versus;;;;;0;;;;;
samsho5h;Samurai Shodown V / Samurai Spirits Zero (NGH-2700);Arcade;samsho5;2003;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho5h;Samurai Shodown V / Samurai Spirits Zero (NGH-2700);Final Burn Alpha;samsho5;2003;Yuki Enterprise / SNK Playmore;;;;;;0;;;;;
samsho5h;Samurai Shodown V / Samurai Spirits Zero (NGH-2700);MAME (Advance);samsho5;2003;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho5h;Samurai Shodown V / Samurai Spirits Zero (NGH-2700);MAME (Libretro);samsho5;2003;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho5h;Samurai Shodown V / Samurai Spirits Zero (NGH-2700);MAME (Mame4all);samsho5;2003;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho;Samurai Shodown / Samurai Spirits (NGM-045);Arcade;;1993;SNK;Fighter / Versus;;;;;0;;;;;
samsho;Samurai Shodown / Samurai Spirits (NGM-045);Final Burn Alpha;;1993;SNK;;;;;;0;;;;;
samsho;Samurai Shodown / Samurai Spirits (NGM-045);MAME (Advance);;1993;SNK;Fighter / Versus;;;;;0;;;;;
samsho;Samurai Shodown / Samurai Spirits (NGM-045);MAME (Libretro);;1993;SNK;Fighter / Versus;;;;;0;;;;;
samsho;Samurai Shodown / Samurai Spirits (NGM-045);MAME (Mame4all);;1993;SNK;Fighter / Versus;;;;;0;;;;;
samsho;Samurai Showdown;SNK Neo Geo AES;;1993;SNK;Action/Fighting;;;;;0;;;;;
samshoh;Samurai Shodown / Samurai Spirits (NGH-045);Arcade;samsho;1993;SNK;Fighter / Versus;;;;;0;;;;;
samshoh;Samurai Shodown / Samurai Spirits (NGH-045);Final Burn Alpha;samsho;1993;SNK;;;;;;0;;;;;
samshoh;Samurai Shodown / Samurai Spirits (NGH-045);MAME (Advance);samsho;1993;SNK;Fighter / Versus;;;;;0;;;;;
samshoh;Samurai Shodown / Samurai Spirits (NGH-045);MAME (Libretro);samsho;1993;SNK;Fighter / Versus;;;;;0;;;;;
samshoh;Samurai Shodown / Samurai Spirits (NGH-045);MAME (Mame4all);samsho;1993;SNK;Fighter / Versus;;;;;0;;;;;
samshou;Samurai Shodown (USA);Final Burn Alpha;samsho;1994;Takara;;;;;;0;;;;;
samspir;Samurai Spirits (Jpn);Final Burn Alpha;samsho;1994;Sega;;;;;;0;;;;;
samurai;Samurai;Arcade;;1980;Sega;Fighter / Field;;;;;0;;;;;
samurai;Samurai;MAME (Advance);;1980;Sega;Fighter / Field;;;;;0;;;;;
samurai;Samurai;MAME (Libretro);;1980;Sega;Fighter / Field;;;;;0;;;;;
samurai;Samurai;MAME (Mame4all);;1980;Sega;Fighter / Field;;;;;0;;;;;
samuraia;Samurai Aces (World);Arcade;;1993;Psikyo;Shooter / Flying Vertical;;;;;0;;;;;
