Cavern Fighter (USA);Cavern Fighter (USA);Commodore 64;;1989;Unknown;Shoot-'Em-Up;;;;;0;;;;;
Chambers of Shaolin (Europe);Chambers of Shaolin (Europe);Atari ST;;1989;Grandslam Entertainment;Fighter;;;;;0;;;;;
Chinese Fighter III (China) (Unl);Chinese Fighter III (China) (Unl);Sega Genesis;;1994;Unknown;Fighter;;;;;0;;;;;
Chinese Karate (Europe);Chinese Karate (Europe);Atari ST;;1989;Turtle Byte;Fighter;;;;;0;;;;;
Chop n' Drop (USA);Chop n' Drop (USA);Commodore 64;;1988;Activision;Fighter;;;;;0;;;;;
Chou Aniki - Bakuretsu Rantou Hen (Japan);Chou Aniki - Bakuretsu Rantou Hen (Japan);Nintendo Super Famicom;;1995;Bits Laboratory;Fighter;;;;;0;;;;;
Chuck Yeager's Fighter Combat (USA) (Proto);Chuck Yeager's Fighter Combat (USA) (Proto);Nintendo Entertainment System;;1991;Culture Brain;Simulation;;;;;0;;;;;
City Fighter (Europe);City Fighter (Europe);Commodore 64;;1984;Mastertronic;Shoot-'Em-Up;;;;;0;;;;;
Cityfighter (Europe);Cityfighter (Europe);Sinclair ZX Spectrum;;1984;Choice Software Ltd;Shooter;;;;;0;;;;;
Clay Fighter (USA);Clay Fighter (USA);Sega Genesis;;1994;Visual Concepts;Fighter;;;;;0;;;;;
Clay Fighter (USA);Clay Fighter (USA);Super Nintendo Entertainment System;;1993;Interplay;Fighter;;;;;0;;;;;
Clay Fighter - Sculptor's Cut (USA);Clay Fighter - Sculptor's Cut (USA);Nintendo 64;;1998;Interplay;Fighter;;;;;0;;;;;
Clay Fighter - Tournament Edition (USA);Clay Fighter - Tournament Edition (USA);Super Nintendo Entertainment System;;1994;Interplay;Fighter;;;;;0;;;;;
Clay Fighter 2 - Judgment Clay (USA);Clay Fighter 2 - Judgment Clay (USA);Super Nintendo Entertainment System;;1994;Interplay;Fighter;;;;;0;;;;;
Clay Fighter 63 1-3 (USA);Clay Fighter 63 1-3 (USA);Nintendo 64;;1997;Interplay;Fighter;;;;;0;;;;;
Cliffhanger (USA);Cliffhanger (USA);Super Nintendo Entertainment System;;1993;Sony Imagesoft;Fighter;;;;;0;;;;;
Conway Fighter (Europe);Conway Fighter (Europe);Commodore 64;;1993;Molotow Cocktails;Shoot-'Em-Up;;;;;0;;;;;
Cosmic Carnage (Japan, USA);Cosmic Carnage (Japan, USA);Sega 32X;;1994;Sega;Fighter;;;;;0;;;;;
Criticom (USA);Criticom (USA);Sony PSP;;1995;Vic Tokai;Fighter;;;;;0;;;;;
Criticom (USA);Criticom (USA);Sony PlayStation;;1995;Vic Tokai;Fighter;;;;;0;;;;;
Danan - The Jungle Fighter (Europe);Danan - The Jungle Fighter (Europe);Sega Master System;;1991;Sega;Platform;;;;;0;;;;;
Dark Rift (USA);Dark Rift (USA);Nintendo 64;;1997;Vic Tokai;Fighter;;;;;0;;;;;
Darkstalkers - The Night Warriors (USA);Darkstalkers - The Night Warriors (USA);Sony PSP;;1996;Capcom;Fighter;;;;;0;;;;;
Darkstalkers - The Night Warriors (USA);Darkstalkers - The Night Warriors (USA);Sony PlayStation;;1996;Capcom;Fighter;;;;;0;;;;;
Darkstalkers 3 (USA);Darkstalkers 3 (USA);Sony PSP;;1998;Capcom;Fighter;;;;;0;;;;;
Darkstalkers 3 (USA);Darkstalkers 3 (USA);Sony PlayStation;;1998;Capcom;Fighter;;;;;0;;;;;
Dead or Alive (USA);Dead or Alive (USA);Sony PSP;;1998;Tecmo;Fighter;;;;;0;;;;;
Dead or Alive (USA);Dead or Alive (USA);Sony PlayStation;;1998;Tecmo;Fighter;;;;;0;;;;;
Dead or Alive 2 (USA);Dead or Alive 2 (USA);Sega Dreamcast;;2000;Tecmo;Fighter;;;;;0;;;;;
Dead or Alive 2 - Limited Edition (Japan);Dead or Alive 2 - Limited Edition (Japan);Sega Dreamcast;;2000;Tecmo;Fighter;;;;;0;;;;;
Deadly Arts (USA);Deadly Arts (USA);Nintendo 64;;1998;Konami;Fighter;;;;;0;;;;;
Deadly Moves (USA);Deadly Moves (USA);Sega Genesis;;1992;Kaneko;Fighter;;;;;0;;;;;
Death Brade (Japan);Death Brade (Japan);Nintendo Super Famicom;;1993;Data East;Fighter;;;;;0;;;;;
Death Sword (USA);Death Sword (USA);Atari ST;;1987;Palace Software;Fighter;;;;;0;;;;;
Death Sword (USA);Death Sword (USA);Commodore 64;;1988;Epyx;Fighter;;;;;0;;;;;
Death and Return of Superman, The (USA);Death and Return of Superman, The (USA);Super Nintendo Entertainment System;;1994;Sun Soft;Fighter;;;;;0;;;;;
Deep Fighter (USA) (Disc 1);Deep Fighter (USA) (Disc 1);Sega Dreamcast;;2000;Ubisoft;Simulation;;;;;0;;;;;
Deep Fighter (USA) (Disc 2);Deep Fighter (USA) (Disc 2);Sega Dreamcast;;2000;Ubisoft;Simulation;;;;;0;;;;;
Destrega (USA);Destrega (USA);Sony PSP;;1999;Koei;Fighter;;;;;0;;;;;
Destrega (USA);Destrega (USA);Sony PlayStation;;1999;Koei;Fighter;;;;;0;;;;;
Digimon - Battle Spirit (USA);Digimon - Battle Spirit (USA);Nintendo Game Boy Advance;;2003;Bandai;Fighter;;;;;0;;;;;
Digimon - Battle Spirit 2 (USA) (En,Fr,De,Es,It);Digimon - Battle Spirit 2 (USA) (En,Fr,De,Es,It);Nintendo Game Boy Advance;;2003;Bandai;Fighter;;;;;0;;;;;
Digimon Rumble Arena (USA);Digimon Rumble Arena (USA);Sony PSP;;2002;Bandai;Fighter;;;;;0;;;;;
Digimon Rumble Arena (USA);Digimon Rumble Arena (USA);Sony PlayStation;;2002;Bandai;Fighter;;;;;0;;;;;
Digimon Tamers - Battle Spirit (Japan);Digimon Tamers - Battle Spirit (Japan);Bandai WonderSwan Color;;2001;Bandai;Fighter;;;;;0;;;;;
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan);Digimon Tamers - Battle Spirit Ver. 1.5 (Japan);Bandai WonderSwan Color;;2002;Bandai;Fighter;;;;;0;;;;;
Doc the Destroyer (Europe);Doc the Destroyer (Europe);Sinclair ZX Spectrum;;1987;Melbourne House;Fighter;;;;;0;;;;;
Doomsday Warrior (USA);Doomsday Warrior (USA);Super Nintendo Entertainment System;;1992;Renovation;Fighter;;;;;0;;;;;
